CAPENT_ID	TIPO_CAPITOLO	ANNO_ESERCIZIO	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DESCRIZIONE	DESCRIZIONE_ARTICOLO	TITOLO	TIPOLOGIA	CATEGORIA	PDC_FIN_QUARTO	PDC_FIN_QUINTO	NOTE	FLAG_RILEVANTE_IVA	FLAG_PER_MEMORIA	TIPO_FINANZIAMENTO	TIPO_VINCOLO	TIPO_FONDO	SIOPE_LIVELLO_1	SIOPE_LIVELLO_2	SIOPE_LIVELLO_3	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	CLASSIFICATORE_6	CLASSIFICATORE_7	CLASSIFICATORE_8	CLASSIFICATORE_9	CLASSIFICATORE_10	CLASSIFICATORE_11	CLASSIFICATORE_12	CLASSIFICATORE_13	CLASSIFICATORE_14	CLASSIFICATORE_15	CENTRO_RESP	CDC	CLASSE_CAPITOLO	FLAG_ACCERTABILE	STANZIAMENTO_INIZIALE	STANZIAMENTO_INIZIALE_RES	STANZIAMENTO_INIZIALE_CASSA	STANZIAMENTO	STANZIAMENTO_RES	STANZIAMENTO_CASSA	STANZIAMENTO_INIZIALE_ANNO2	STANZIAMENTO_ANNO2	STANZIAMENTO_INIZIALE_ANNO3	STANZIAMENTO_ANNO3	FL_MIGRATO	DATA_INS	ENTE_PROPRIETARIO_ID
131303	CAP-EG	2016	780000	0	1	INTROITO I.V.A. SU PROVENTI E DIRITTI DIVERSI - ENTRATA CON DESTINAZIONE VINCOLATA - SERVIZIO RILEVAZIONE IVA		3000000	3050000	3059900	E.3.05.99.99.000			N	N																						000		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
131302	CAP-EG	2016	536000	0	1	CONTRIBUTO REGIONALE PER AZIONI DI POLITICA ATTIVA DEL LAVORO PER PROGETTI DI PUBBLICA UTILITA' - FIN. CAP. SPESA N. 3847002		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						000		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1960	CAP-EG	2016	1772000	0	1	EX1772000 - CONTRIBUTO REGIONALE PER LA REALIZZAZIONE DEL MUSEO CIVICO ARCHEOLOGICO 		4000000	4020000	4020100	E.4.02.01.02.000			N	N																						050		STD	S	0	0	0	40000	0	40000	0	0	0	0	N	03/02/2016 10:37:04	30
1916	CAP-EG	2016	1190002	0	1	EX1190002 - CONTRIBUTI CONTO INTERESSI SU MUTUI ICS 		3000000	3050000	3050200	E.3.05.99.99.000			N	N																						030		STD	S	0	0	0	5598,72	0	5598,72	0	5598,72	0	0	N	03/02/2016 10:37:04	30
1985	CAP-EG	2016	1495000	0	1	EX1495000 - CONTRIBUTO CRT PER LAVORI DI ADEGUAMENTO IMPIANTO DI RISCALDAMENTO TEATRO CIVICO 		4000000	4020000	4020300	E.4.02.03.03.000			N	N																						060		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1998	CAP-EG	2016	1360005	0	1	EX1360005 - INTROITO PER CESSIONE AREE ZONA INDUSTRIALE 		4000000	4040000	4040200	E.4.04.02.01.000			N	N																						050		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1826	CAP-EG	2016	406004	0	1	EX406004 - RIMBORSO ASL PER ATTIVITA' DI VIGILANZA		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						070		STD	S	0	0	0	3500	0	3500	0	3500	0	0	N	03/02/2016 10:37:04	30
1827	CAP-EG	2016	406005	0	1	EX406005 - CONTRIBUTO DA ASL 11 UNA TANTUM PER AVVIO MICRONIDO - fin .cap. 3254		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						070		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1925	CAP-EG	2016	714000	0	1	EX714000 - SANZIONI PER DANNI AL PATRIMONIO ARBOREO - FIN. CAP 3352000		3000000	3050000	3050200	E.3.05.99.99.000			N	N																						050		STD	S	0	0	0	3000	0	3000	0	3000	0	0	N	03/02/2016 10:37:04	30
1994	CAP-EG	2016	1360006	0	1	EX1360006 - INTROITO VENDITA IMMOBILI LASCITO AVV. FERRARIS		4000000	4040000	4040200	E.4.04.01.08.000			N	N																						030		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1923	CAP-EG	2016	1161002	0	1	EX1161002 - CONTRIBUTI EROGATI DAL GESTORE AI SENSI DELLA L.R. N. 24/2002 E N. 2/2003 - ARRETRATI		3000000	3050000	3050200	E.3.05.99.99.000			N	N																						050		STD	S	0	0	0	0	330632,39	330632,39	0	0	0	0	N	03/02/2016 10:37:04	30
1956	CAP-EG	2016	1753002	0	1	EX1753002 - CONTRIBUTO REGIONALE PER BONIFICA A.SE.RI.(FIN.CAP.8061006)  		4000000	4020000	4020100	E.4.02.01.02.000			N	N																						050		STD	S	0	0	0	62419,27	0	62419,27	0	0	0	0	N	03/02/2016 10:37:04	30
1951	CAP-EG	2016	1443001	0	1	EX1443001 - CONTRIBUTO REGIONALE PER RIQUALLIFICAZIONE BOSCO CASCINA BARGE' - PROGETTAZIONE (FIN.CAP.7994000)		4000000	4020000	4020100	E.4.02.01.02.000			N	N																						050		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1894	CAP-EG	2016	918000	0	1	EX918000 - AFFITTI LASCITO AVV. FERRARIS		3000000	3010000	3010300	E.3.01.03.02.000			N	N																						030		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1952	CAP-EG	2016	1667000	0	1	EX1667000 - CONTRIBUTO REGIONALE PER REALIZZAZIONE RISOTECA REGIONALE - 		4000000	4020000	4020100	E.4.02.01.02.000			N	N																						050		STD	S	0	0	0	0	350000	350000	0	0	0	0	N	03/02/2016 10:37:04	30
2003	CAP-EG	2016	1499001	0	1	EX1499001 - MONETIZZAZIONE DERIVANTE DALL'APPLICAZIONE DELL'ART. 37 DELLE N.T.A. PRGC VERCELLI - INDICE DENSITA' ARBOREO ARBUSTIVO		4000000	4050000	4050100	E.4.05.01.01.000			N	N																						050		STD	S	0	0	0	10000	0	10000	0	10000	0	0	N	03/02/2016 10:37:04	30
1812	CAP-EG	2016	531000	0	1	EX531000 - CONTRIBUTO DA ATO 2 PER EROGAZIONE DI CONTRIBUTI A SOGGETTI IN CONDIZIONI DI DISAGIO SOCIO ECONOMICO PER IL PAGAMENTO DELLE BOLLETTE DEL SERVIZIO IDRICO INTEGRATO- FIN. CAP. SPESA N. 3935/0		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						070		STD	S	0	0	0	38200,19	19100,09	57300,28	0	38200,19	0	0	N	03/02/2016 10:37:04	30
1815	CAP-EG	2016	353000	0	1	EX353000 - CONTRIBUTO PROVINCIALE PER SPORTELLO PROVINCIALE PRIMA ACCOGLIENZA - AZIONI DI PREVENZIONE E CONTRASTO DEL FENOMENO DI VIOPLENZA NEI CONFRONTI DELLE DONNE - FIN. CAPITOLI 3982/0-3983/0-3983/1		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						070		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1825	CAP-EG	2016	406003	0	1	EX406003 - CONTRIBUTO DA ASL 11 PER PRESTAZIONI IN LUNGO ASSISTENZA FINANZIA CAP. SPESA 3768/1		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						070		STD	S	0	0	0	0	45967,54	45967,54	0	0	0	0	N	03/02/2016 10:37:04	30
1808	CAP-EG	2016	899000	0	1	EX899000 - FONDO PER INTEGRAZIONE CANONE DI LOCAZIONE - FIN. CAP. SPESA 3806/0		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						070		STD	S	0	0	0	100000	0	100000	0	100000	0	0	N	03/02/2016 10:37:04	30
1897	CAP-EG	2016	902000	0	1	EX902000 - INTROITO FONDI ED ENTRATE DIVERSE EX FONDAZIONE AVOGADRO - ENTRATA  CON VINCOLO DESTINAZIONE		3000000	3010000	3010300	E.3.01.03.02.000			N	N																						030		STD	S	0	0	0	140000	31	140031	0	140000	0	0	N	03/02/2016 10:37:04	30
1888	CAP-EG	2016	910000	0	1	EX910000 - FITTI REALI DIVERSI		3000000	3010000	3010300	E.3.01.03.02.000			N	N																						030		STD	S	0	0	0	210500	127923,87	338423,87	0	210500	0	0	N	03/02/2016 10:37:04	30
1773	CAP-EG	2016	201003	0	1	EX201003 - FONDO STATO PER TARSU SCUOLE 		2000000	2010100	2010101	E.2.01.01.01.000			N	N																						030		STD	S	0	0	0	41550	0	41550	0	41550	0	0	N	03/02/2016 10:37:04	30
1796	CAP-EG	2016	341003	0	1	EX341003 - PROGETTO ASL VERCELLI PER L'AUTONOMIA DEI SOGGETTI DISABILIFIN. QUOTA PARTE DEL CAP. 3833/0		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						070		STD	S	0	0	0	8300	13432,82	21732,82	0	8300	0	0	N	03/02/2016 10:37:04	30
1906	CAP-EG	2016	1012000	0	1	EX1012000 - UTILI ATAP		3000000	3040000	3040300	E.3.04.03.01.000			N	N																						030		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1860	CAP-EG	2016	423000	0	1	EX423000 - PROVENTI DA VENDITA PRODOTTI AGRICOLI CASCINA BARGE' 		3000000	3010000	3010300	E.3.01.01.01.000			N	N																						070		STD	S	0	0	0	540	0	540	0	540	0	0	N	03/02/2016 10:37:04	30
1848	CAP-EG	2016	533000	0	1	EX533000 - CONTRIBUTO DALLA PROVINCIA DI VERCELLI PER PROGETTO INNAMORARTE		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						080		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1915	CAP-EG	2016	1190001	0	1	EX1190001 - RIMBORSO CREDITO SPORTIVO IN CONTO INTERESSI PER MUTUO PALAZZETTO DELLO SPORT		3000000	3050000	3050200	E.3.05.99.99.000			N	N																						030		STD	S	0	0	0	6322	0	6322	0	6322	0	0	N	03/02/2016 10:37:04	30
1945	CAP-EG	2016	521001	0	1	EX521001 - CONTRIBUTO DA FONDAZIONE CASSA DI RISPARMIO PER PROGETTO INNAMORARTE		3000000	3050000	3059900	E.3.05.99.99.000			N	N																						080		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1784	CAP-EG	2016	580000	0	1	EX580000 - CONTRIBUTO DELL'AMMINISTRAZIONE PROVINCIALE AI SENSI DELLA L.R. N.55/ 84 PER APERTURA CANTIERE DI LAVORO		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						040		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1883	CAP-EG	2016	766002	0	1	EX766002 - CONCORSO DI PRIVATI PER PRESTAZIONI ASSISTENZIALI - TELESOCCORSO		3000000	3020000	3020400	E.3.01.02.01.000			N	N																						070		STD	S	0	0	0	2500	619,4	3119,4	0	2500	0	0	N	03/02/2016 10:37:04	30
1872	CAP-EG	2016	766003	0	1	EX766003 - CONCORSO DI PRIVATI PER PRESTAZIONI ASSISTENZIALI - QUOTE CENTRO DIURNO ANZIANI		3000000	3010000	3010200	E.3.01.02.01.000			N	N																						070		STD	S	0	0	0	2500	346,32	2846,32	0	2500	0	0	N	03/02/2016 10:37:04	30
1873	CAP-EG	2016	766004	0	1	EX766004 - CONCORSO DI PRIVATI PER PRESTAZIONI ASSISTENZIALI - MENSA CENTRO DIURNO		3000000	3010000	3010200	E.3.01.02.01.000			N	N																						070		STD	S	0	0	0	1500	0	1500	0	1500	0	0	N	03/02/2016 10:37:04	30
1874	CAP-EG	2016	766005	0	1	EX766005 - CONCORSO DI PRIVATI PER PRESTAZIONI ASSISTENZIALI - CONCORSO RETTE DI RICOVERO PER DISABILI		3000000	3010000	3010200	E.3.01.02.01.000			N	N																						070		STD	S	0	0	0	3500	101314,45	104814,45	0	3500	0	0	N	03/02/2016 10:37:04	30
1882	CAP-EG	2016	775000	0	1	EX775000 - INTROITO PER ORGANIZZAZIONE MOSTRE, ECC. - UTILIZZO SALE SERVIZIO RILEVAZIONE I.V.A.		3000000	3020000	3020300	E.3.01.02.01.000			N	N																						080		STD	S	0	0	0	15000	518,62	15518,62	0	15000	0	0	N	03/02/2016 10:37:04	30
1877	CAP-EG	2016	791000	0	1	EX791000 - CONCORSO UTENTI CORSO NUOTO SCUOLA DELL'OBBLIGO 		3000000	3010000	3010200	E.3.01.02.01.000			N	N																						080		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1875	CAP-EG	2016	795000	0	1	EX795000 - PROVENTI PER CONCESSIONE IMPIANTI SPORTIVI SERVIZIO RILEVAZIONE I.V.A.		3000000	3010000	3010200	E.3.01.02.01.000			N	N																						080		STD	S	0	0	0	35000	6873,36	41873,36	0	35000	0	0	N	03/02/2016 10:37:04	30
1755	CAP-EG	2016	801000	0	1	EX801000 - IMPOSTA SULLA PUBBLICITA' ARRETRATI		1000000	1010100	1010153	E.1.01.01.53.000			N	N																						030		STD	S	0	0	0	12600	0	12600	0	0	0	0	N	03/02/2016 10:37:04	30
1885	CAP-EG	2016	835000	0	1	EX835000 - CANONI AZIENDE PER CONCESSIONE SERVIZI		3000000	3010000	3010300	E.3.01.03.01.000			N	N																						030		STD	S	0	0	0	410624,84	3654	414278,84	0	410624,84	0	0	N	03/02/2016 10:37:04	30
1887	CAP-EG	2016	840000	0	1	EX840000 - FITTI REALI DI FONDI RUSTICI		3000000	3010000	3010300	E.3.01.03.02.000			N	N																						030		STD	S	0	0	0	800	290	1090	0	800	0	0	N	03/02/2016 10:37:04	30
1895	CAP-EG	2016	850000	0	1	EX850000 - FITTI REALI DI FONDI RUSTICI EX OSPIZIO DEI POVERI		3000000	3010000	3010300	E.3.01.03.02.000			N	N																						030		STD	S	0	0	0	165000	35898,56	200898,56	0	165000	0	0	N	03/02/2016 10:37:04	30
1896	CAP-EG	2016	872000	0	1	EX872000 - FITTI REALI DI FONDI RUSTICI EX OPERA PIA  FASSINA		3000000	3010000	3010300	E.3.01.03.02.000			N	N																						030		STD	S	0	0	0	36000	0	36000	0	36000	0	0	N	03/02/2016 10:37:04	30
1770	CAP-EG	2016	260000	0	1	EX260000 - CONTRIBUTO DELLO STATO NELLE SPESE PER GLI UFFICI GIUDIZIARI		2000000	2010100	2010101	E.2.01.01.01.000			N	N																						030		STD	S	0	0	0	0	647631,38	647631,38	0	0	0	0	N	03/02/2016 10:37:04	30
1779	CAP-EG	2016	268000	0	1	EX268000 - TRASFERIMENTO PER FINANZIAMENTO ACQUISTO LIBRI DI TESTO SCUOLA MEDIA CAP. SPESA 1902/0		2000000	2010100	2010101	E.2.01.01.01.000			N	N																						080		STD	S	0	0	0	119143	0	119143	0	119143	0	0	N	03/02/2016 10:37:04	30
1837	CAP-EG	2016	270000	0	1	EX270000 - EROGAZIONE REGIONALE PER FUNZIONI DELEGATE AL COMUNE, SUL DIRITTO ALLO STUDIO (ART. 45 D.P.R. 616/771 FINANZIATO EX D.P.R. 616/1977)-SCUOLE MATERNE		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						080		STD	S	0	0	0	7107	7107	14214	0	7107	0	0	N	03/02/2016 10:37:04	30
1838	CAP-EG	2016	270001	0	1	EX270001 - EROGAZIONE REGIONALE PER FUNZIONI DELEGATE AL COMUNE, SUL DIRITTO ALLO STUDIO (ART. 45 D.P.R. 616/771 FINANZIATO EX D.P.R. 616/1977)-SCUOLE ELEMENTARI		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						080		STD	S	0	0	0	6065,04	6065,04	12130,08	0	6065,04	0	0	N	03/02/2016 10:37:04	30
1839	CAP-EG	2016	270002	0	1	EX270002 - EROGAZIONE REGIONALE PER FUNZIONI DELEGATE AL COMUNE, SUL DIRITTO ALLO STUDIO (ART. 45 D.P.R. 616/771 FINANZIATO EX D.P.R. 616/1977)-SCUOLE MEDIE INFERIORI		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						080		STD	S	0	0	0	6148,43	6148,43	12296,86	0	6148,43	0	0	N	03/02/2016 10:37:04	30
1840	CAP-EG	2016	270003	0	1	EX270003 - EROGAZIONE REGIONALE PER FUNZIONI DELEGATE AL COMUNE, SUL DIRITTO ALLO STUDIO (ART. 45 D.P.R. 616/771 FINANZIATO EX D.P.R. 616/1977)-SCUOLE MEDIE SUPERIORI		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						080		STD	S	0	0	0	9152,33	9152,33	18304,66	0	9152,33	0	0	N	03/02/2016 10:37:04	30
1889	CAP-EG	2016	911000	0	1	EX911000 - GESTIONE ALLOGGI ATC 		3000000	3010000	3010300	E.3.01.03.02.000			N	N																						030		STD	S	0	0	0	0	30000	30000	0	0	0	0	N	03/02/2016 10:37:04	30
1891	CAP-EG	2016	913000	0	1	EX913000 - FITTI REALI DI FONDI RUSTICI AREA INDUSTRIALE 		3000000	3010000	3010300	E.3.01.03.02.000			N	N																						030		STD	S	0	0	0	24070,5	0	24070,5	0	24070,5	0	0	N	03/02/2016 10:37:04	30
1898	CAP-EG	2016	915000	0	1	EX915000 - FITTI ALLOGGI CASA DELLA RUOTA		3000000	3010000	3010300	E.3.01.03.02.000			N	N																						030		STD	S	0	0	0	215000	65789,62	280789,62	0	215000	0	0	N	03/02/2016 10:37:04	30
1893	CAP-EG	2016	916000	0	1	EX916000 - AFFITTO ALLOGGI VIALE RIMEMBRANZA		3000000	3010000	3010300	E.3.01.03.02.000			N	N																						030		STD	S	0	0	0	31000	25794,21	56794,21	0	31000	0	0	N	03/02/2016 10:37:04	30
1901	CAP-EG	2016	930002	0	1	EX930002 - INTERESSI ATTIVI: SU FONDO DI CASSA		3000000	3030000	3030300	E.3.03.03.04.000			N	N																						030		STD	S	0	0	0	3000	518,58	3518,58	0	3000	0	0	N	03/02/2016 10:37:04	30
1902	CAP-EG	2016	930004	0	1	EX930004 - INTERESSI ATTIVI SU DEPOSITI UNA TANTUM		3000000	3030000	3030300	E.3.03.03.04.000			N	N																						030		STD	S	0	0	0	0	21097,61	21097,61	0	0	0	0	N	03/02/2016 10:37:04	30
1904	CAP-EG	2016	1011000	0	1	EX1011000 - UTILI ATENA SPA E ATENA PATRIMONIO		3000000	3040000	3040300	E.3.04.03.01.000			N	N																						030		STD	S	0	0	0	1560000	0	1560000	0	1560000	0	0	N	03/02/2016 10:37:04	30
1903	CAP-EG	2016	1011001	0	1	EX1011001 - UTILI AZIENDA FARMACEUTICA		3000000	3040000	3040200	E.3.04.02.03.000			N	N																						030		STD	S	0	0	0	1000	0	1000	0	1000	0	0	N	03/02/2016 10:37:04	30
1908	CAP-EG	2016	1070000	0	1	EX1070000 - RECUPERO UTENZE DA  TERZI IMMOBILE EX ECA		3000000	3050000	3050200	E.3.05.99.99.000			N	N																						030		STD	S	0	0	0	16000	7762,47	23762,47	0	16000	0	0	N	03/02/2016 10:37:04	30
1934	CAP-EG	2016	1071000	0	1	EX1071000 - RECUPERO UTENZE DA TERZI		3000000	3050000	3050200	E.3.05.99.99.000			N	N																						080		STD	S	0	0	0	40000	68071,09	108071,09	0	40000	0	0	N	03/02/2016 10:37:04	30
1935	CAP-EG	2016	1072000	0	1	EX1072000 - RECUPERO UTENZE DA UTILIZZATORI IMPIANTI SPORTIVI		3000000	3050000	3050200	E.3.05.99.99.000			N	N																						080		STD	S	0	0	0	85000	80782,35	165782,35	0	85000	0	0	N	03/02/2016 10:37:04	30
1919	CAP-EG	2016	1090000	0	1	EX1090000 - RIMBORSO DALL'I.N.P.S. E DALLA C.P.D.E.L.PER RECUPERO DI QUOTE DI CONCORSO DI PENSIONI		3000000	3050000	3050200	E.3.05.99.99.000			N	N																						040		STD	S	0	0	0	2000	0	2000	0	2000	0	0	N	03/02/2016 10:37:04	30
1836	CAP-EG	2016	516000	0	1	EX516000 - CONTRIBUTO REGIONALE PER CONVENZIONE CON SCUOLE MATERNE PRIVATE - L.R. 61/1996 FINANZIA CAP. SPESA 1609/2		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						080		STD	S	0	0	0	47296	0	47296	0	47296	0	0	N	03/02/2016 10:37:04	30
1745	CAP-EG	2016	11000	0	1	EX11000 - GETTITO DERIVANTE DA VERIFICHE E CONTROLLI SU  IMPOSTA COMUNALE SUGLI IMMOBILI (I.C.I.)		1000000	1010100	1010108	E.1.01.01.08.000			N	N																						030		STD	S	0	0	0	51694,97	1595409,67	1647104,64	0	20000	0	0	N	03/02/2016 10:37:04	30
1746	CAP-EG	2016	23000	0	1	EX23000 - ADDIZIONALE COMUNALE IMPOSTA SUL REDDITO		1000000	1010100	1010116	E.1.01.01.16.000			N	N																						030		STD	S	0	0	0	5800000	4613710,46	10413710,46	0	5800000	0	0	N	03/02/2016 10:37:04	30
1754	CAP-EG	2016	40000	0	1	EX40000 - IMPOSTA SULLA PUBBLICITA'		1000000	1010100	1010153	E.1.01.01.53.000			N	N																						030		STD	S	0	0	0	0	376199,82	376199,82	0	0	0	0	N	03/02/2016 10:37:04	30
1426752	CAP-EG	2016	60000	0	1	ADDIZIONALE ENERGIA ELETTRICA ART. 17 D.L. 786 		1000000	1010100	1010199	E.1.01.01.99.000			N	N																						030		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1751	CAP-EG	2016	70001	0	1	EX70001 - TASSA PER L'OCCUPAZIONE DI SPAZI ED AREE PUBBLICHE: TASSA OCCUPAZIONE PERMANENTE		1000000	1010100	1010152	E.1.01.01.52.000			N	N																						030		STD	S	0	0	0	0	207410,43	207410,43	0	0	0	0	N	03/02/2016 10:37:04	30
1752	CAP-EG	2016	70003	0	1	EX70003 - TASSA PER L'OCCUPAZIONE DI SPAZI ED AREE PUBBLICHE: TASSA OCCUPAZIONE TEMPORANEA		1000000	1010100	1010152	E.1.01.01.52.000			N	N																						030		STD	S	0	0	0	0	128027,08	128027,08	0	0	0	0	N	03/02/2016 10:37:04	30
1753	CAP-EG	2016	70005	0	1	EX70005 - TASSA PER L'OCCUPAZIONE DI SPAZI ED AREE PUBBLICHE: GETTITO ANNI PRECEDENTI - 		1000000	1010100	1010152	E.1.01.01.52.000			N	N																						030		STD	S	0	0	0	12500	50,39	12550,39	0	0	0	0	N	03/02/2016 10:37:04	30
1747	CAP-EG	2016	80000	0	1	EX80000 - TASSA PER IL RITIRO, LA RACCOLTA ED IL TRASPORTO DEI RIFIUTI SOLIDI URBANI		1000000	1010100	1010151	E.1.01.01.51.000			N	N																						030		STD	S	0	0	0	0	3860098,64	3860098,64	0	0	0	0	N	03/02/2016 10:37:04	30
1819	CAP-EG	2016	600000	0	1	EX600000 - CONTRIBUTO COMUNI PER ATTIVITA' ASSISTENZIALE(FINANZIA QUOTA PARTE  CAP. 3856/0 E 3791/0)		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						070		STD	S	0	0	0	480000	500276,05	980276,05	0	480000	0	0	N	03/02/2016 10:37:04	30
1820	CAP-EG	2016	601000	0	1	EX601000 - CONTRIBUTO COMUNI PER SAD (FINANZIA QUOTA PARTE CAP. 3770/8)		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						070		STD	S	0	0	0	0	0	0	0	0	0	0	N	03/02/2016 10:37:04	30
1849	CAP-EG	2016	607000	0	1	EX607000 - CONTRIBUTO COMUNI PER PARTECIPAZIONE SIST. BIBLITECARIO NAZIONALE-FIN CAP.SPESA 2100001-2100002		2000000	2010100	2010102	E.2.01.01.02.000			N	N																						080		STD	S	0	0	0	4000	5850	9850	0	4000	0	0	N	03/02/2016 10:37:04	30
1748	CAP-EG	2016	81000	0	1	EX81000 - TASSA R.S.U. - ADDIZIONALE		1000000	1010100	1010151	E.1.01.01.51.000			N	N																						030		STD	S	0	0	0	0	388087,8	388087,8	0	0	0	0	N	03/02/2016 10:37:04	30
1757	CAP-EG	2016	82000	0	1	EX82000 - TASSA PER IL RITIRO, LA RACCOLTA ED IL TRASPORTO DEI RIFIUTI SOLIDI URBANI - AMBULANTI		1000000	1010100	1010161	E.1.01.01.61.000			N	N																						030		STD	S	0	0	0	50000	59112,87	109112,87	0	50000	0	0	N	03/02/2016 10:37:04	30
