ACCERTAMENTO_ID	TIPO_MOVIMENTO	ANNO_ESERCIZIO	ANNO_ACCERTAMENTO	NUMERO_ACCERTAMENTO	NUMERO_SUBACCERTAMENTO	PLURIENNALE	CAPO_RIACC	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DATA_EMISSIONE	DATA_SCADENZA	STATO_OPERATIVO	IMPORTO_INIZIALE	IMPORTO_ATTUALE	DESCRIZIONE	ANNO_CAPITOLO_ORIG	NUMERO_CAPITOLO_ORIG	NUMERO_ARTICOLO_ORIG	NUMERO_UEB_ORIG	ANNO_PROVVEDIMENTO	NUMERO_PROVVEDIMENTO	TIPO_PROVVEDIMENTO	SAC_PROVVEDIMENTO	OGGETTO_PROVVEDIMENTO	NOTE_PROVVEDIMENTO	STATO_PROVVEDIMENTO	SOGGETTO_DETERMINATO	CODICE_SOGGETTO	CLASSE_SOGGETTO	NOTA	AUTOMATICO	ANNO_ACCERTAMENTO_PLUR	NUMERO_ACCERTAMENTO_PLUR	ANNO_ACCERTAMENTO_RIACC	NUMERO_ACCERTAMENTO_RIACC	OPERA	PDC_FINANZIARIO	TRANSAZIONE_UE_ENTRATA	SIOPE_ENTRATA	ENTRATA_RICORRENTE	PERIMETRO_SANITARIO_ENTRATA	PDC_ECONOMICO_PATR	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	ENTE_PROPRIETARIO_ID	PARERE_FINANZIARIO
24462	A	2018	2018	5	0		N	102100	0	1	2016-04-28		D	2201,39	2201,39	REIMPUT. ROR 2016 2013/1138 CANONE/INDENNIZZO 2013 OCCUP. SENZA TITOLO	2018	102100	0	1	2013	1505	DD||K		Accertamento canoni di occupazione senza titolo del demanio idroviario - Area Po Lombardo - anno 2013.		D	S	3168			N			2013	1138		E.3.01.03.01.002											4	1
24463	A	2018	2018	6	0		N	102100	0	1	2016-04-28		D	2227,20	2227,20	REIMPUT. ROR 2016 2014/1073 CANONE/INDENNIZZO 2014 - OCCUP. SENZA TITOLO	2018	102100	0	1	2014	1485	DD||K		Accertamento canoni di occupazione senza titolo del demanio idroviario, Area Po Lombardo - anno 2014. Annullamento e rettifica determina 1415 del 12-12-2014.		D	S	3168			N			2014	1073		E.3.01.03.01.002											4	1
24464	A	2018	2018	7	0		N	201150	0	1	2016-04-28		D	5824421,20	5824421,20	REIMPUT. ROR 2016 2015/365 REIMPUT. 2006/383 PROGRAMMA CIPE 17/2003	2018	201150	0	1	2018		SPR||				D	N	0	MIGRAZIONE||MIGRAZIONE		N			2015	365													4	1
24461	A	2018	2018	4	0		N	102100	0	1	2016-04-28		D	3159,48	3159,48	REIMPUT. ROR 2016 2012/719 INDENNIZZO 207/2012	2018	102100	0	1	2012	1232	DD||K		Accertamento canoni per occupazione demaniale in comune di Motta Baluffi. Occupante: Comune di Motta Baluffi.		D	S	3168			N			2012	719		E.3.01.03.01.002											4	1
24450	A	2016	2016	461	0		N	203130	0	1	2016-04-28		D	410997,72	410997,72	REIMPUT. ROR 2016 2015/478 REIMPUT. 2012/473 FE-E-2/NI PERIZIA DI VARIANTE, DIREZIONE LAVORI ED ESPROPRI NUOVO PONTE FERROVIARIO MIGLIARINO (FE)	2016	203130	0	1	2012	805	DD||K		FE-E-2/NI CUP I81H04000010002 Realizzazione del nuovo ponte ferroviario sull'idrovia ferrarese in località Migliarino (FE) in sostituzione di quello esistente di ostacolo alla navigazione. ASSUNZIONE IMPEGNO DI SPESA PER VARIANTE E ACCERTAMENTO A CARICO DI REGIONE EMILIA-ROMAGNA E FER SRL		D	S	146			N			2015	478		E.4.03.10.02.001											4	1
24451	A	2016	2016	462	0		N	203130	0	1	2016-04-28		D	192789,66	192789,66	REIMPUT. ROR 2016 2015/479 REIMPUT. 2012/475 FE-E-2/NI INTEGRAZIONE ACCERTAMENTO PER RIPARTIZIONE FINANZIAMENTO TRA RER E FER (LAVORI E DL)	2016	203130	0	1	2012	805	DD||K		FE-E-2/NI CUP I81H04000010002 Realizzazione del nuovo ponte ferroviario sull'idrovia ferrarese in località Migliarino (FE) in sostituzione di quello esistente di ostacolo alla navigazione. ASSUNZIONE IMPEGNO DI SPESA PER VARIANTE E ACCERTAMENTO A CARICO DI REGIONE EMILIA-ROMAGNA E FER SRL		D	S	146			N			2015	479		E.4.03.10.02.001											4	1
24452	A	2016	2016	463	0		N	203130	0	1	2016-04-28		D	2017,93	2017,93	REIMPUT. ROR 2016 2015/480 REIMPUT. 2014/682 FE-E-3-NI-PI LAVORI DI S.U. PER LA MESSA IN SICUREZZA DELLE SCARPATE DEL NUOVO PONTE FERROVIARIO SULL'IDROVIA FERRARESE IN LOC. MIGLIARINO	2016	203130	0	1	2014	778	DD||K		FE-E-3-NI-PI Lavori di somma urgenza per la messa in sicurezza delle scarpate del nuovo ponte ferroviario sull'Idrovia ferrarese in località Migliarino (FE). CUP B54H14000290002 Approvazione della perizia, aggiudicazione dei lavori CIG 5881536D09 e dell'incarico di progettazione, Direzione lavori e Coordinamento della sicurezza in fase di esecuzione CIG ZDC106073D, assunzione impegno di spesa ed accertamento entrata		D	S	146			N			2015	480		E.4.03.10.02.001											4	1
24453	A	2016	2016	464	0		N	203130	0	1	2016-04-28		D	9100,73	9100,73	REIMPUT. ROR 2016 2015/481 REIMPUT. 2014/956 FE-E-2-NI REALIZZAZIONE DEL NUOVO PONTE FERROVIARIO SULL'IDROVIA FERRARESE IN LOC. MIGLIARINO. SERVIZI TECNICI PER FRAZIONAMENTO AREE	2016	203130	0	1	2014	1391	DD||K		FE-E-2-NI CUP I81H04000010002 -  Realizzazione del nuovo ponte ferroviario sull'Idrovia ferrarese in località Migliarino (FE) in sostituzione di quello esistente di ostacolo alla navigazione commerciale. AFFIDAMENTO SERVIZIO TECNICO E TOPOGRAFICO PER REDAZIONE DI FRAZIONAMENTI DI AREE GIA' ESPROPRIATE CIG Z821225FF1		D	S	146			N			2015	481		E.4.03.10.02.001											4	1
24454	A	2016	2016	465	0		N	203150	0	1	2016-04-28		D	767116,00	767116,00	REIMPUT. ROR 2016 2015/485 REIMPUT. 2014/1015 PC-E-2-NI LAVORI PER PROGETTO LIFE/11/NAT/IT/188	2016	203150	0	1	2014	1545	DD||K		PC-E-2-NI CUP: E82D12000190009 CIG: 58527691C5 Interventi di ripristino della continuità del corridoio fluvilae, del sistema di controllo e degli altri interventi infrastrutturali previsti - realizzazione impianto di risalita per la fauna ittica sul fiume Po Isola Serafini Comune di Monticelli d'Ongina (PC) Progetto LIFE+11 NAT/IT/188 CON.FLU.PO Restoring connectivity in Po River basin opening migratory route for Acipenser naccarii and 10 fish species in annex II AGGIUDICAZIONE DEFINITIVA EFFI		D	S	266			N			2015	485													4	1
24455	A	2016	2016	466	0		N	203150	0	1	2016-04-28		D	3076,18	3076,18	REIMPUT. ROR 2016 2015/537 PROGETTO LIFE+11 NAT/IT/188 CON.FLU.PO. PROVE DI LABORATORIO SUI MATERIALI DA COSTRUZIONE	2016	203150	0	1	2015	550	DD||K		Progetto LIFE+11 NAT/IT/188 CON.FLU.PO  Restoring connectivity in Po River basin opening migratory route for Acipenser naccarii and 10 fish species in annex II PC-E-2-NI Interventi di ripristino della continuità del corridoio fluviale, del sistema di controllo e degli altri interventi infrastrutturali previsti - realizzazione impianto di risalita per la fauna ittica sul fiume Po Isola Serafini Comune di Monticelli d'Ongina (PC) CUP E82D12000190009. AFFIDAMENTO DEL SERVIZIO PER L'ESECUZIONE DI PR		D	S	266			N			2015	537													4	1
