IMPEGNO_ID	TIPO_MOVIMENTO	ANNO_ESERCIZIO	ANNO_IMPEGNO	NUMERO_IMPEGNO	NUMERO_SUBIMPEGNO	PLURIENNALE	CAPO_RIACC	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DATA_EMISSIONE	DATA_SCADENZA	STATO_OPERATIVO	IMPORTO_INIZIALE	IMPORTO_ATTUALE	DESCRIZIONE	ANNO_CAPITOLO_ORIG	NUMERO_CAPITOLO_ORIG	NUMERO_ARTICOLO_ORIG	NUMERO_UEB_ORIG	ANNO_PROVVEDIMENTO	NUMERO_PROVVEDIMENTO	TIPO_PROVVEDIMENTO	SAC_PROVVEDIMENTO	OGGETTO_PROVVEDIMENTO	NOTE_PROVVEDIMENTO	STATO_PROVVEDIMENTO	SOGGETTO_DETERMINATO	CODICE_SOGGETTO	CLASSE_SOGGETTO	NOTA	CUP	CIG	TIPO_IMPEGNO	ANNO_IMPEGNO_PLUR	NUMERO_IMPEGNO_PLUR	ANNO_IMPEGNO_RIACC	NUMERO_IMPEGNO_RIACC	OPERA	COD_INTERV_CLASS	PDC_FINANZIARIO	MISSIONE	PROGRAMMA	COFOG	TRANSAZIONE_UE_SPESA	SIOPE_SPESA	SPESA_RICORRENTE	PERIMETRO_SANITARIO_SPESA	POLITICHE_REGIONALI_UNITARIE	PDC_ECONOMICO_PATR	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	ENTE_PROPRIETARIO_ID	PARERE_FINANZIARIO
92924	I	2016	2016	1331	0		N	107001	0	1	2016-04-28		D	4425,45	4425,45	REIMPUT. ROR 2016 2015/1379 REIMPUT. 2014/1375 FE-E-262-M LAVORI DI MANUTENZIONE CONSISTENTI NELLO SFALCIO E PULIZIA DELLE ARGINATURE, RICADENTI NEL CIRCONDARIO IDRAULICO DI FERRARA, DA EFFETTUARSI NEI DUE PERIODI PRIMAVERILI ED AUTUNNALE PTI_FE_1 COMUNI DI BONDENO, FERRARA E RO. INCENTIVO	2016	107001	0	1	2014	771	DD||K		FE-E-262-M - COD. CUP B19G13000590002 Lavori: CIG 54233913D5 Assicurazione progettisti: CIG 5772146D8D Lavori di manutenzione consistenti nello sfalcio e pulizia delle arginature, ricadenti nel Circondario Idraulico di Ferrara, da effettuarsi nei due periodi primaverile ed autunnale PTI_FE_1 Comuni di Bondeno, Ferrara e Ro AGGIUDICAZIONE DEFINITIVA EFFICACE IMPEGNO DI SPESA		D	S	129		CUP/CIG NON PREVISTO CDR=17E5			SVI			2015	1379		FE-E-262-M																4	1
92925	I	2016	2016	1332	0		N	107001	0	1	2016-04-28		D	3348,86	3348,86	REIMPUT. ROR 2016 2015/1381 REIMPUT. 2014/1380 FE-E-263-M LAVORI DI MANUTENZIONE CONSISTENTI NELLO SFALCIO E PULIZIA DELLE ARGINATURE, RICADENTI NEL CIRCONDARIO IDRAULICO DI FERRARA, DA EFFETTUARSI NEI DUI PERIODI PRIMAVERILI ED AUTUNNALI PTI_FE_2 COMUNI DI BERRA, MESOLA E GORO. INCENTIVO	2016	107001	0	1	2014	770	DD||K		FE-E-263-M - COD. CUP B29G13000790002 Lavori: CIG 5423508462 Assicurazione progettisti: CIG 5772146D8D Lavori di manutenzione consistenti nello sfalcio e pulizia delle arginature, ricadenti nel Circondario Idraulico di Ferrara, da effettuarsi nei due periodi primaverile ed autunnale PTI_FE_2 - Comuni di Berra, Mesola e Goro AGGIUDICAZIONE DEFINITIVA EFFICACE IMPEGNO DI SPESA		D	S	129		CUP/CIG NON PREVISTO CDR=17E5			SVI			2015	1381		FE-E-263-M																4	1
92926	I	2016	2016	1333	0		N	107001	0	1	2016-04-28		D	643,37	643,37	REIMPUT. ROR 2016 2015/2814 PR-E-368-M REISCRIZIONE RESIDUI PERENTI - 4^ APPLICAZIONE 2015	2016	107001	0	1	2015	530	DD||K		Reiscrizione residui perenti - 4^ applicazione 2015		D	S	129		CUP/CIG NON PREVISTO CDR=1200			SVI			2015	2814		PR-E-368-M																4	1
92927	I	2016	2016	1334	0		N	107001	0	1	2016-04-28		D	849,01	849,01	REIMPUT. ROR 2016 2015/2815 PR-E-369-M REISCRIZIONE RESIDUI PERENTI - 4^ APPLICAZIONE 2015	2016	107001	0	1	2015	530	DD||K		Reiscrizione residui perenti - 4^ applicazione 2015		D	S	129		CUP/CIG NON PREVISTO CDR=1200			SVI			2015	2815		PR-E-369-M																4	1
92928	I	2016	2016	1335	0		N	107001	0	1	2016-04-28		D	835,15	835,15	REIMPUT. ROR 2016 2015/2816 PR-E-390-M REISCRIZIONE RESIDUI PERENTI - 4^ APPLICAZIONE 2015	2016	107001	0	1	2015	530	DD||K		Reiscrizione residui perenti - 4^ applicazione 2015		D	S	129		CUP/CIG NON PREVISTO CDR=1200			SVI			2015	2816		PR-E-390-M																4	1
92929	I	2016	2016	1336	0		N	107001	0	1	2016-04-28		N	717,83	717,83	REIMPUT. ROR 2016 2015/2817 PR-E-392-M REISCRIZIONE RESIDUI PERENTI - 4^ APPLICAZIONE 2015	2016	107001	0	1	2015	530	DD||K		Reiscrizione residui perenti - 4^ applicazione 2015		D	N	0		CUP/CIG NON PREVISTO CDR=1200			SVI			2015	2817		PR-E-392-M																4	1
92930	I	2016	2016	1337	0		N	107001	0	1	2016-04-28		D	774,17	774,17	REIMPUT. ROR 2016 2015/2818 PR-E-394-M REISCRIZIONE RESIDUI PERENTI - 4^ APPLICAZIONE 2015	2016	107001	0	1	2015	530	DD||K		Reiscrizione residui perenti - 4^ applicazione 2015		D	S	129		CUP/CIG NON PREVISTO CDR=1200			SVI			2015	2818		PR-E-394-M																4	1
92931	I	2016	2016	1338	0		N	107006	0	1	2016-04-28		D	1593,62	1593,62	REIMPUT. ROR 2016 2015/2833 PC-E-238-M COORD.SICUREZZA	2016	107006	0	1	2015	571	DD||K		PC-E-238-M - COD. CUP B33G15000060002 - Coordinamento sicurezza: CIG Z81135D27E Lavori di sfalcio e decespugliamento in destra del fiume Po nel I e II tronco di custodia del circondario idraulico di Piacenza. IMPEGNO DI SPESA PROPEDEUTICA   		D	S	1280			B33G15000060002	Z81135D27E	SVI			2015	2833		PC-E-238-M																4	1
92932	I	2016	2016	1339	0		N	107006	0	1	2016-04-28		D	761,28	761,28	REIMPUT. ROR 2016 2015/2834 RE-E-217-M COORD.SICUREZZA	2016	107006	0	1	2015	570	DD||K		RE-E-217-M - COD. CUP B83G15000100002 - Coordinamento sicurezza: CIG Z2E1357587 Lavori di sfalcio, decespugliamento, disboscamento e manutenzione alveo e sommità arginali delle arginature del torrente Crostolo nel III tronco di custodia del circondario idraulico di Reggio Emilia, nei Comuni di Castelnuovo di Sotto, Cadelbosco di Sopra e Reggio Emilia IMPEGNO DI SPESA PROPEDEUTICA		D	S	8022			B83G15000100002	Z2E1357587	SVI			2015	2834		RE-E-217-M																4	1
92933	I	2016	2016	1340	0		N	107006	0	1	2016-04-28		D	2385,34	2385,34	REIMPUT. ROR 2016 2015/2835 PR-E-428-M COORD.SICUREZZA	2016	107006	0	1	2015	573	DD||K		PR-E-428-M - COD. CUP B43G15000030002 - Coordinamento sicurezza: CIG ZF5133E535 Lavori di sfalcio, decespugliamento, disboscamento e manutenzione alveo e sommità arginali delle arginature comprese nel VI tronco di custodia del circondario idraulico di Parma nei Comuni di Mezzani, Sorbolo e Parma IMPEGNO DI SPESA PROPEDEUTICA		D	S	3154			B43G15000030002	ZF5133E535	SVI			2015	2835		PR-E-428-M																4	1
