ACCERTAMENTO_ID	TIPO_MOVIMENTO	ANNO_ESERCIZIO	ANNO_ACCERTAMENTO	NUMERO_ACCERTAMENTO	NUMERO_SUBACCERTAMENTO	PLURIENNALE	CAPO_RIACC	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DATA_EMISSIONE	DATA_SCADENZA	STATO_OPERATIVO	IMPORTO_INIZIALE	IMPORTO_ATTUALE	DESCRIZIONE	ANNO_CAPITOLO_ORIG	NUMERO_CAPITOLO_ORIG	NUMERO_ARTICOLO_ORIG	NUMERO_UEB_ORIG	ANNO_PROVVEDIMENTO	NUMERO_PROVVEDIMENTO	TIPO_PROVVEDIMENTO	SAC_PROVVEDIMENTO	OGGETTO_PROVVEDIMENTO	NOTE_PROVVEDIMENTO	STATO_PROVVEDIMENTO	SOGGETTO_DETERMINATO	CODICE_SOGGETTO	CLASSE_SOGGETTO	NOTA	AUTOMATICO	ANNO_ACCERTAMENTO_PLUR	NUMERO_ACCERTAMENTO_PLUR	ANNO_ACCERTAMENTO_RIACC	NUMERO_ACCERTAMENTO_RIACC	OPERA	PDC_FINANZIARIO	TRANSAZIONE_UE_ENTRATA	SIOPE_ENTRATA	ENTRATA_RICORRENTE	PERIMETRO_SANITARIO_ENTRATA	PDC_ECONOMICO_PATR	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	ENTE_PROPRIETARIO_ID	PARERE_FINANZIARIO
75173831	A	2016	2016	40	0	0		1584000	0	1	2016-01-01		D	348,73	348,73	POSIZ.N.4532290 PER LAVORI DI MANUTENZ. E PRONTO INTER,RETE VIARIA ED AREE PUBBL.- ANNO 2009		0	0		2009	2179	DD||K				DEFINITIVO	S	12661			N																	30	1
75173778	A	2016	2016	39	0	0		1584000	0	1	2016-01-01		D	441,5	441,5	POSIZ. N. 4509571 00 PER LAVORI DI MANUTENZ. E PRONTO INTERVENTO SULLA RETE VIARIA CITTADINA		0	0		2007	722	DD||K				DEFINITIVO	S	12661			N																	30	1
75172878	A	2016	2016	17	0	0		1584000	0	1	2016-01-01		D	15321,77	15321,77	POSIZ. N. 4536346 INTERVENTI DI MANUTENZIONE RETE VIARIA ED AREE PUBBLICHE-ANNO 2009		0	0		2009	4244	DD||K				DEFINITIVO	S	12661			N																	30	1
75172938	A	2016	2016	19	0	0		1584000	0	1	2016-01-01		D	497,31	497,31	POSIZ. N. 4532342 PER LAVORI DI STRAORD. MANUTENZ.E PRONTO INTERVENTO EDIFICI COMUNALI ANNO 2009		0	0		2009	2180	DD||K				DEFINITIVO	S	12661			N																	30	1
75172930	A	2016	2016	18	0	0		1584000	0	1	2016-01-01		D	7479,2	7479,2	POSIZ. N. 4531569 PER MANUTENZ. STRAORD. DELLA PAVIMENTAZIONE DELLE STRADE BITUMATE - ANNO 2009		0	0		2009	2001	DD||K				DEFINITIVO	S	12661			N																	30	1
75173776	A	2016	2016	38	0	0		1584000	0	1	2016-01-01		D	5940,47	5940,47	POSIZ. N. 4479662 00 MUTUO PER LAVORI ADEG.TO NORME PREVENZIONE INCENDI FABBRICATI COM.LI - 2' LOTTO		0	0		2005	748	DD||K				DEFINITIVO	S	12661			N																	30	1
75172876	A	2016	2016	16	0	0		1584000	0	1	2016-01-01		D	385,32	385,32	POS.N.4445584 00 - INTERVENTI MANUTENZ.STRAORDINARIARETE VIARIA ED AREE PUBBLICHE		0	0		2003	838	DD||K				DEFINITIVO	S	306			N																	30	1
75172699	A	2016	2016	14	0	0		1772000	0	1	2016-01-01		D	40000	40000	VERS. CONTRIBUTO PER REALIZZAZIONE DEL MUSEO CIVICO		0	0		2009	5300	DD||K				DEFINITIVO	S	5611			N																	30	1
75172993	A	2016	2016	21	0	0		1784000	0	1	2016-01-01		D	2021436,03	2021436,03	VERS. CONTRIB. PER REALIZZAZIONE MUSEO DELLO SPORT		0	0		2006	401	DD||K				DEFINITIVO	S	17169			N																	30	1
75172815	A	2016	2016	15	0	0		1459000	0	1	2016-01-01		N	700000	700000	VERS. CONTRIBUTO ARCUS PER LA REALIZZAZIONE DELLA CITTADELLA DELLA CULTURA		0	0		2011	4315	DD||K				DEFINITIVO	N				N																	30	1
75173114	A	2016	2016	25	0	0		1584000	0	1	2016-01-01		D	79265,7	79265,7	POSIZ. N.  4554584 PER LAVORI MANUTENZ. SUOLO PUBBL. - ANNO 2011		0	0		2011	3894	DD||K				DEFINITIVO	S	12661			N																	30	1
75173358	A	2016	2017	6	0	1		1584000	0	1	2016-01-01		D	200000	200000	POSIZ. N. 4554935 PER MANUTENZ. PAVIMENTAZ. LAPIDEE CENTRO STORICO		0	0		2011	4040	DD||K				DEFINITIVO	S	12661			N																	30	1
75173180	A	2016	2016	27	0	0		1584000	0	1	2016-01-01		D	218000	218000	POSIZ. N. 4554867 PER RIQUALIFICAZ. STRUTTUR. E FUNZ.LE TORRI CITTADINE E CASA VIALARDI		0	0		2011	3952	DD||K				DEFINITIVO	S	12661			N																	30	1
75173357	A	2016	2016	31	0	0		1584000	0	1	2016-01-01		D	200000	200000	POSIZ. N. 4554935 PER MANUTENZ. PAVIMENTAZ. LAPIDEE CENTRO STORICO		0	0		2011	4040	DD||K				DEFINITIVO	S	12661			N																	30	1
75173476	A	2016	2016	32	0	0		1584000	0	1	2016-01-01		D	17490,79	17490,79	POSIZ. N. 4554850 PER INTERVENTI DI CONSOLID.TO STRUTTUR. IN EDIFICI SCOLASTICI		0	0		2011	3951	DD||K				DEFINITIVO	S	12661			N																	30	1
75173771	A	2016	2016	37	0	0		1584000	0	1	2016-01-01		D	37656,19	37656,19	DEVOLUZ. PER PARTE LAVORI DI CONSOLIDAMENTO STRUTTURALE EDIFICI SCOLASTICI (POSIZ. N. 4538136)		0	0		2011	377	DG||K				DEFINITIVO	S	12661			N																	30	1
75173300	A	2016	2016	30	0	0		1584000	0	1	2016-01-01		P	192964	192964	POSIZIONE 4548883 -MANUTENZIONE STRAORDINARIA IMMOBILE COMUNALE EX ISABELLA DE CARDONA		0	0									S	12661			N																	30	0
75173290	A	2016	2016	28	0	0		1584000	0	1	2016-01-01		D	17251,56	17251,56	POSIZIONE 4543667 - LAVORI DI MANUTENZIONE E PRONTO INTERVENTO IN CORRISPONDENZA DI EDIFICI E STRUTTURE DI PROPRIETA' COMUNALI ANNO 2010		0	0		2010	2566	DD||K				DEFINITIVO	S	12661			N																	30	1
75173051	A	2016	2016	22	0	0		1744001	0	1	2016-01-01		P	185000	185000	VERS. CONTRIBUTO PER SISTEMAZIONE DEL TORRENTE SESIETTA		0	0									N				N																	30	0
75172696	A	2016	2016	12	0	0		1744000	0	1	2016-01-01		P	140000	140000	VERS. CONTRIB. PER SISTEM. A CIELO APERTO DEL TORRENTE SESIETTA NEL CONCENTRICO ACC. 30% (P.N. 3185)		0	0									S	5611			N																	30	0
75173052	A	2016	2016	23	0	0		1745000	0	1	2016-01-01		P	79694,61	79694,61	CONTR. REG. PER COLATORE CERVETTO		0	0		2002	0	DD||K				PROVVISORIO	S	1581			N																	30	0
