IMPEGNO_ID	TIPO_MOVIMENTO	ANNO_ESERCIZIO	ANNO_IMPEGNO	NUMERO_IMPEGNO	NUMERO_SUBIMPEGNO	PLURIENNALE	CAPO_RIACC	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DATA_EMISSIONE	DATA_SCADENZA	STATO_OPERATIVO	IMPORTO_INIZIALE	IMPORTO_ATTUALE	DESCRIZIONE	ANNO_CAPITOLO_ORIG	NUMERO_CAPITOLO_ORIG	NUMERO_ARTICOLO_ORIG	NUMERO_UEB_ORIG	ANNO_PROVVEDIMENTO	NUMERO_PROVVEDIMENTO	TIPO_PROVVEDIMENTO	SAC_PROVVEDIMENTO	OGGETTO_PROVVEDIMENTO	NOTE_PROVVEDIMENTO	STATO_PROVVEDIMENTO	SOGGETTO_DETERMINATO	CODICE_SOGGETTO	CLASSE_SOGGETTO	NOTA	CUP	CIG	TIPO_IMPEGNO	ANNO_IMPEGNO_PLUR	NUMERO_IMPEGNO_PLUR	ANNO_IMPEGNO_RIACC	NUMERO_IMPEGNO_RIACC	OPERA	COD_INTERV_CLASS	PDC_FINANZIARIO	MISSIONE	PROGRAMMA	COFOG	TRANSAZIONE_UE_SPESA	SIOPE_SPESA	SPESA_RICORRENTE	PERIMETRO_SANITARIO_SPESA	POLITICHE_REGIONALI_UNITARIE	PDC_ECONOMICO_PATR	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	ENTE_PROPRIETARIO_ID	PARERE_FINANZIARIO
75148045	I	2016	2016	53	0	0		7558001	0	1	2016-01-01		N	1969563,97	1969563,97	MUSEO DELLO SPORT LAVORI - PARTE		0	0		2010	3494	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147934	S	2016	2016	52	1	0		7610001	0	1	2016-01-01		D	43989	43989	F.T. STUDIO S.R.L.-AFFIDAMENTO LAVAGGIO MATERIALI, SISTEMAZIONE,REDAZIONE ELENCHI E CATALOGAZIONE REPERTI COMPLESSO EDILIZIO PER EVENTI SPORTIVI NAZIONALI ED INTERNAZIONALI E MUSEO DELLA SCHERMA - DA SUB.1/11		0	0		2014	4019	DD||K				DEFINITIVO	S	20239				ZDD12724A4	SVI												2115										30	1
75147933	I	2016	2016	52	0	0		7610001	0	1	2016-01-01		N	43989	43989	REALIZZAZ. MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147931	I	2016	2016	51	0	0		7610001	0	1	2016-01-01		N	3815,99	3815,99	REALIZZAZ. MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147930	S	2016	2016	50	1	0		7610001	0	1	2016-01-01		D	7363,25	7363,25	STECINGEGNERIA - CORRIPSETTIVO D.L. E CONTABILITA' PER REDAZIONE PERIZIA  MODIFICATIVA E SUPPLETIVA DI VARIANTE N.2 OPERE COMPLEMENTARI NUOVA CURVA OVEST STADIO PIOLA - DA SUB. 1		0	0		2013	2319	DD||K				DEFINITIVO	S	20368					SVI												2115										30	1
75147869	I	2016	2016	50	0	0		7610001	0	1	2016-01-01		N	7363,25	7363,25	REALIZZAZ. MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147867	I	2016	2016	49	0	0		7610001	0	1	2016-01-01		N	629,2	629,2	REALIZZAZ. MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147865	I	2016	2016	48	0	0		7610001	0	1	2016-01-01		N	191676,56	191676,56	REALIZZAZ. MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147753	I	2016	2016	47	0	0		7610001	0	1	2016-01-01		N	594031,98	594031,98	REALIZZAZ. MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147752	S	2016	2016	46	1	0		7610002	0	1	2016-01-01		D	792,25	792,25	FERRERO ING. D. - PARTE ESTENSIONE INCARICO COLLAUDO TECNICO E STATICO PERIZIA SUPPL. E VARIANTE N.1. PER REALIZZAZ. NUOVA CURVA STADIO PIOLA (DA SUB 2)		0	0		2012	3363	DD||K				DEFINITIVO	S	17110					SVI												2115										30	1
75147751	I	2016	2016	46	0	0		7610002	0	1	2016-01-01		N	792,25	792,25	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147750	S	2016	2016	45	1	0		7610002	0	1	2016-01-01		D	937,6	937,6	FERRERO ING. D. - PARTE ESTENSIONE INCARICO COLLAUDO TECNICO E STATICO PERIZIA SUPPL. E VARIANTE N.1. PER REALIZZAZ. NUOVA CURVA STADIO PIOLA (DA SUB 3)		0	0		2012	3363	DD||K				DEFINITIVO	S	17110			E69B06000220001	1206457FCB	SVI												2115										30	1
75147689	I	2016	2016	45	0	0		7610002	0	1	2016-01-01		N	937,6	937,6	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147687	I	2016	2016	44	0	0		7610002	0	1	2016-01-01		N	827,19	827,19	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147685	I	2016	2016	43	0	0		7610002	0	1	2016-01-01		N	544,5	544,5	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147573	I	2016	2016	42	0	0		7610002	0	1	2016-01-01		N	14415,15	14415,15	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147571	I	2016	2016	41	0	0		7610002	0	1	2016-01-01		N	28405,69	28405,69	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147509	I	2016	2016	40	0	0		7610002	0	1	2016-01-01		N	206,58	206,58	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147507	I	2016	2016	39	0	0		7610002	0	1	2016-01-01		N	418,78	418,78	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147505	I	2016	2016	38	0	0		7610002	0	1	2016-01-01		N	588427,98	588427,98	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147393	I	2016	2016	37	0	0		7610002	0	1	2016-01-01		N	861,76	861,76	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147391	I	2016	2016	36	0	0		7610002	0	1	2016-01-01		N	180	180	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147329	I	2016	2016	35	0	0		7610002	0	1	2016-01-01		N	0,01	0,01	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147328	S	2016	2016	34	1	0		7610002	0	1	2016-01-01		D	3,38	3,38	COOP. SOCIAL B - SERVIZIO SGOMBERO AREA E LOCALI STADIO PIOLA (DA SUB 2)		0	0		2011	2011	DD||K				DEFINITIVO	S	16445				24F009B340	SVI												2115										30	1
75147327	I	2016	2016	34	0	0		7610002	0	1	2016-01-01		N	3,38	3,38	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
75147325	I	2016	2016	33	0	0		7610002	0	1	2016-01-01		N	7068,87	7068,87	REALIZZAZIONE MUSEO DELLO SPORT LAVORI - PARTE		0	0		2008	422	DD||K				DEFINITIVO	N						SVI												2115										30	1
