ACCERTAMENTO_ID	TIPO_MOVIMENTO	ANNO_ESERCIZIO	ANNO_ACCERTAMENTO	NUMERO_ACCERTAMENTO	NUMERO_SUBACCERTAMENTO	PLURIENNALE	CAPO_RIACC	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DATA_EMISSIONE	DATA_SCADENZA	STATO_OPERATIVO	IMPORTO_INIZIALE	IMPORTO_ATTUALE	DESCRIZIONE	ANNO_CAPITOLO_ORIG	NUMERO_CAPITOLO_ORIG	NUMERO_ARTICOLO_ORIG	NUMERO_UEB_ORIG	ANNO_PROVVEDIMENTO	NUMERO_PROVVEDIMENTO	TIPO_PROVVEDIMENTO	SAC_PROVVEDIMENTO	OGGETTO_PROVVEDIMENTO	NOTE_PROVVEDIMENTO	STATO_PROVVEDIMENTO	SOGGETTO_DETERMINATO	CODICE_SOGGETTO	CLASSE_SOGGETTO	NOTA	AUTOMATICO	ANNO_ACCERTAMENTO_PLUR	NUMERO_ACCERTAMENTO_PLUR	ANNO_ACCERTAMENTO_RIACC	NUMERO_ACCERTAMENTO_RIACC	OPERA	PDC_FINANZIARIO	TRANSAZIONE_UE_ENTRATA	SIOPE_ENTRATA	ENTRATA_RICORRENTE	PERIMETRO_SANITARIO_ENTRATA	PDC_ECONOMICO_PATR	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	ENTE_PROPRIETARIO_ID	PARERE_FINANZIARIO
75173531	A	2016	2015	775	0	0		11000	0	1	2015-06-10		P	7531,64	7531,64	VERS. ACCERT. ICI 		0	0									N				N																	30	0
72372516	A	2016	2014	94	0	0		321000	0	1	2014-01-15		D	412224,59	412224,59	VERS. CONTRIBUTO PER ATTIVITA' SOCIO ASSISTENZIALE		0	0		2014	122	DD||K				DEFINITIVO	S	5611			N																	30	1
72373361	A	2016	2013	1513	0	0		1174000	0	1	2013-10-16		D	11,85	11,85	VERS UTENZE CASA DELLA RUOTA		0	0		2013	2978	DD||K				DEFINITIVO	S	10161			N																	30	1
72380797	A	2016	2011	1174	0	0		1161000	0	1	2011-09-06		D	101983	101983	contributo gestore ex legge 24/2002		0	0		2011	1111	DS||K				DEFINITIVO	S	3197			N																	30	1
72379594	A	2016	2010	1030	0	0		1584000	0	1	2010-07-23		D	8859,23	8859,23	POSIZIONE 4543667 - LAVORI DI MANUTENZIONE E PRONTO INTERVENTO IN CORRISPONDENZA DI EDIFICI E STRUTTURE DI PROPRIETA' COMUNALI ANNO 2010		0	0		2010	2566	DD||K				DEFINITIVO	S	12661			N																	30	1
72372935	A	2016	2013	424	0	0		1174000	0	1	2013-03-26		N	131,01	131,01	VERS. RIMBORSO UTENZE CASA DELLA RUOTA 2° SEM. 12		0	0		2013	980	DD||K				DEFINITIVO	N				N																	30	1
72378575	A	2016	2009	1072	0	0		1584000	0	1	2009-07-02		D	663,58	663,58	POSIZ.N.4532290 PER LAVORI DI MANUTENZ. E PRONTO INTER,RETE VIARIA ED AREE PUBBL.- ANNO 2009		0	0		2009	2179	DD||K				DEFINITIVO	S	12661			N																	30	1
72380017	A	2016	2010	1754	0	0		689000	0	1	2010-12-21		P	247101,2	247101,2	VERS. RUOLO SANZIONI CDS		0	0									N				N																	30	0
72379476	A	2016	2010	698	0	0		1620000	0	1	2010-05-19		N	1033,32	1033,32	VERS. ASSEGNI FAMILIARI INERENTI AL "PROGETTO VERCELLI NEL VERDE"		0	0		2010	2167	DD||K				DEFINITIVO	N				N																	30	1
80736426	A	2016	2015	1856	0	0		930002	0	1	2015-12-31		P	27,09	27,09	VERS. INTERESSI BANCO POSTA		0	0									S	11793			N																	30	0
75173896	A	2016	2015	802	0	0		1584000	0	1	2015-06-10		D	53818,38	53818,38	POSIZ.N.4458078 00 LAVORI RESTAURO CONSERVATIVO MANICA SETTECENTESCA MONASTERO S. CHIARA		0	0		2004	510	DD||K				DEFINITIVO	S	306			N																	30	1
72380195	A	2016	2010	1846	0	0		1161002	0	1	2010-12-31		P	330632,39	330632,39	VERS. CONTRIBUTI ARRETRATI		0	0									N				N																	30	0
72381759	A	2016	2012	823	0	0		535002	0	1	2012-07-02		P	30000	30000	VERS. CONTRIBUTO PER PROGETTO "UNA CITTA' MUSEO"		0	0									N				N																	30	0
72374196	A	2016	2012	14	0	0		915000	0	1	2012-01-01		D	768,02	768,02	VERS. CANONE		0	0		2011	2453	DD||K				DEFINITIVO	S	16128			N																	30	1
72378396	A	2016	2009	937	0	0		70001	0	1	2009-06-03		N	172061,1	172061,1	VERS. TOSAP PERMANENTE		0	0		2009	2386	DD||K				DEFINITIVO	N				N																	30	1
72378935	A	2016	2009	1851	0	0		1171000	0	1	2009-11-13		N	234,23	234,23	VERS. RIMBORSO UTENZE S. ANDREA 3° TRIM.		0	0		2009	4761	DD||K				DEFINITIVO	N				N																	30	1
72383373	A	2016	2014	408	0	0		915000	0	1	2014-03-18		D	5324,61	5324,61	VERS. CANONE		0	0		2014	974	DD||K				DEFINITIVO	S	19095			N																	30	1
72384567	A	2016	2014	1467	0	0		70003	0	1	2014-10-27		P	1131,99	1131,99	VERS. TOSAP TEMPORANEA		0	0									N				N																	30	0
76575669	A	2016	2015	1013	0	0		915000	0	1	2015-07-28		P	969,52	969,52	VERS. CANONE		0	0									S	18035			N																	30	0
72384091	A	2016	2014	1029	0	0		10000140	0	1	2014-07-28		P	58638,01	58638,01	VERS. CONTRIBUTO PROV.LE TARI 		0	0									N				N																	30	0
66121037	A	2016	2015	35	0	0		689000	0	1	2015-01-12		P	544869,86	544869,86	VERS. SANZIONI CDS		0	0									N				N																	30	0
79838707	A	2016	2015	1703	0	0		1071000	0	1	2015-12-10		P	486,25	486,25	VERS. UTENZE		0	0									S	21234			N																	30	0
72382297	A	2016	2012	1725	0	0		1584004	0	1	2012-12-28		D	35,95	35,95	POSIZ. N. 4459112 00 PARTE DEVOLUZIONE PER INFORMATIZZAZIONE ATTIVITA' CONSIGLIO COM.LE		0	0		2012	2636	DD||K				DEFINITIVO	S	12661			N																	30	1
72372339	A	2016	2014	62	0	0		1624000	0	1	2014-01-10		N	11142,27	11142,27	VERS. RIMBORSO SPESE DI CONTRATTO		0	0		2014	68	DD||K				DEFINITIVO	N				N																	30	1
72382116	A	2016	2012	1260	0	0		1174000	0	1	2012-09-26		N	51,51	51,51	VERS. RIMBORSO SPESE CASA DELLA RUOTA 1° SEM 2012		0	0		2012	3131	DD||K				DEFINITIVO	N				N																	30	1
72378397	A	2016	2009	938	0	0		70003	0	1	2009-06-03		N	33220,59	33220,59	VERS. TOSAP TEMPORANEA		0	0		2009	2386	DD||K				DEFINITIVO	N				N																	30	1
72372758	A	2016	2013	309	0	0		910000	0	1	2013-03-07		D	4255,71	4255,71	VERS. CANONE		0	0		2013	650	DD||K				DEFINITIVO	S	2722			N																	30	1
72374199	A	2016	2012	40	0	0		910000	0	1	2012-01-01		D	8808,64	8808,64	VERS. CANONE		0	0		2011	3627	DD||K				DEFINITIVO	S	16383			N																	30	1
78026032	A	2016	2015	1414	0	0		910000	0	1	2015-10-19		P	1990,04	1990,04	VERS. CANONE		0	0									S	14725			N																	30	0
75483842	A	2016	2015	832	0	0		902000	0	1	2015-06-26		P	31	31	VERS. CANONE FONDI RUSTICI EX FONDAZIONE AVOGADRO		0	0									N				N																	30	0
79228782	A	2016	2015	1577	0	0		15001	0	1	2015-11-18		P	15586,96	15586,96	VERS. ACCERT. TASI		0	0									N				N																	30	0
75173714	A	2016	2015	784	0	0		1584000	0	1	2015-06-10		D	20476,18	20476,18	POSIZ. N. 4481383 00 MUTUO LAVORI MANUTENZ. PAVIMENTAZIONE IN ACCIOTOLATO DI V.LE GARIBALDI		0	0		2005	899	DD||K				DEFINITIVO	S	12661			N																	30	1
75173837	A	2016	2015	798	0	0		1584000	0	1	2015-06-10		P	9891,15	9891,15	LAVORI SISTEMAZIONE LARGO GIUSTI		0	0		2000	0	DD||K				PROVVISORIO	S	306			N																	30	0
80374889	A	2016	2015	1850	0	0		700002	0	1	2015-12-31		P	5206,5	5206,5	VERS. PROVENTI SERVIZI CIMITERIALI		0	0									N				N																	30	0
72378872	A	2016	2009	1559	0	0		914000	0	1	2009-09-28		P	723,04	723,04	VERS. CANONE AFFITTO LOCALI		0	0									S	18617			N																	30	0
80007643	A	2016	2015	1734	0	0		910000	0	1	2015-12-18		D	1600	1600	VERS. CANONE		0	0		2015	3573	DD||K				DEFINITIVO	S	20825			N																	30	1
80007641	A	2016	2015	1732	0	0		745001	0	1	2015-12-18		P	244000	244000	VERS. CANONE ADDIZIONALE DI CUI ALLA LEGGE 222/07		0	0									N				N																	30	0
72373000	A	2016	2013	496	0	0		23000	0	1	2013-04-10		P	35992,38	35992,38	VERS. ADDIZIONALE IRPEF		0	0									N				N																	30	0
