IMPEGNO_ID	TIPO_MOVIMENTO	ANNO_ESERCIZIO	ANNO_IMPEGNO	NUMERO_IMPEGNO	NUMERO_SUBIMPEGNO	PLURIENNALE	CAPO_RIACC	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DATA_EMISSIONE	DATA_SCADENZA	STATO_OPERATIVO	IMPORTO_INIZIALE	IMPORTO_ATTUALE	DESCRIZIONE	ANNO_CAPITOLO_ORIG	NUMERO_CAPITOLO_ORIG	NUMERO_ARTICOLO_ORIG	NUMERO_UEB_ORIG	ANNO_PROVVEDIMENTO	NUMERO_PROVVEDIMENTO	TIPO_PROVVEDIMENTO	SAC_PROVVEDIMENTO	OGGETTO_PROVVEDIMENTO	NOTE_PROVVEDIMENTO	STATO_PROVVEDIMENTO	SOGGETTO_DETERMINATO	CODICE_SOGGETTO	CLASSE_SOGGETTO	NOTA	CUP	CIG	TIPO_IMPEGNO	ANNO_IMPEGNO_PLUR	NUMERO_IMPEGNO_PLUR	ANNO_IMPEGNO_RIACC	NUMERO_IMPEGNO_RIACC	OPERA	COD_INTERV_CLASS	PDC_FINANZIARIO	MISSIONE	PROGRAMMA	COFOG	TRANSAZIONE_UE_SPESA	SIOPE_SPESA	SPESA_RICORRENTE	PERIMETRO_SANITARIO_SPESA	POLITICHE_REGIONALI_UNITARIE	PDC_ECONOMICO_PATR	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	ENTE_PROPRIETARIO_ID	PARERE_FINANZIARIO
11400365	I	2016	2015	9	0	0		2970000	0	1	2015-01-01		D	1843,1	1843,1	C.I.F. SRL - AFFID.TO SERV. FUNEBRE PER NON ABBIENTI E RECUPERO SALME DAL 1/6/2011 AL 30/5/2016		0	0		2011	2070	DD||K				DEFINITIVO	S	1626					SVI							U.1.03.02.99.000	12	09			1332										30	1
11400645	I	2016	2015	11	0	0		1150004	0	1	2015-01-01		D	975,87	975,87	FASTWEB SPA - IMPLEMENTAZIONE CENTRALINO TELEFONICO UFF. GIUDIZIARI FINO AL 24/01/2015		0	0		2013	3187	DD||K				DEFINITIVO	S	17420					SVI							U.1.03.02.05.000	02	01			1315										30	1
11400693	I	2016	2015	13	0	0		270000	0	1	2015-01-01		D	474,36	474,36	BONNELL SAS - AFFID.TO SERV. NOLEGGIO ATTREZZATURE PER STAMPERIA COM.LE DAL 1/7/13 AL 30/6/16		0	0		2013	1417	DD||K				DEFINITIVO	S	13534					SVI							U.1.03.02.99.000	01	03			1313										30	1
11400741	I	2016	2015	14	0	0		270000	0	1	2015-01-01		D	2432,1	2432,1	RICOH ITALIA  SRL - AFFID.TO NOLEGGIO FOTOCOPIATRICI ED ATTREZZATURE		0	0		2013	246	DD||K				DEFINITIVO	S	18109					SVI							U.1.03.02.99.000	01	03			1332										30	1
11405145	I	2016	2015	17	0	0		3400001	0	1	2015-01-01		D	3100	3100	A.S.D. LIBERTAS GINNASTICA - AFFID.TO CONVENZIONE TENSOSTRUTTURA DI VIA VIVIANIDAL 1/4/13 AL 31/3/2016		0	0		2013	1045	DD||K				DEFINITIVO	S	2235					SVI							U.1.04.03.99.000	06	01			1583										30	1
11407084	I	2016	2015	18	0	0		270000	0	1	2015-01-01		D	3296,7	3296,7	RICOH ITALIA SRL - NOLEGGIO FOTOCOPIATRICI ED ATTREZZATURE DAL 1/4/12 AL 31/3/17 - RINEGOZIAZIONE		0	0		2012	832	DD||K				DEFINITIVO	S	18109					SVI							U.1.03.02.99.000	01	03			1332										30	1
11410752	I	2016	2015	27	0	0		3400001	0	1	2015-01-01		N	5000	5000	S.S. RUGBY VERCELLI - AFFID.TO GESTIONE IMPIANTO SPORTIVO V. MERO DAL 1/2/11 AL 31/1/2020		0	0		2011	1617	DD||K				DEFINITIVO	N						SVI							U.1.04.03.99.000	06	01			1583										30	1
11410757	I	2016	2015	28	0	0		3400001	0	1	2015-01-01		D	4166,63	4166,63	G.S. MAZZINI - AFFID.TO GESTIONE IMPIANTO SPORTIVO ARAVECCHIA DAL 1/2/11 AL 31/1/2020		0	0		2011	1618	DD||K				DEFINITIVO	S	11815					SVI							U.1.04.03.99.000	06	01			1583										30	1
11410971	I	2016	2015	30	0	0		3400001	0	1	2015-01-01		D	1030,34	1030,34	G.S. MAZZINI - AFFID.TO GESTIONE IMPIANTO SPORTIVO VIA MONTE BIANCO DAL 1/5/13 AL 30/4/17		0	0		2008	933	DD||K				DEFINITIVO	S	11815					SVI							U.1.04.03.99.000	06	01			1583										30	1
11410976	I	2016	2015	31	0	0		3400001	0	1	2015-01-01		D	41300	41300	SKATING VERCELLI - AFFID.TO GESTIONE IMPIANTO SPORTIVO PALAPREGNOLATO FINO AL 30/4/2020		0	0		2007	198	DD||K				DEFINITIVO	S	10185					SVI							U.1.04.03.99.000	06	01			1583										30	1
11410981	I	2016	2015	32	0	0		3400001	0	1	2015-01-01		D	4133,32	4133,32	A.S. ANGELS BASEBALL & SOFTBALL - AFFID.TO GESTIONE IMPIANTO SPORTIVO DI VIA MONFALCONE FINO AL 31/10/2020		0	0		2010	1625	DD||K				DEFINITIVO	S	15824					SVI							U.1.04.03.99.000	06	01			1583										30	1
11535795	I	2016	2015	46	0	0		4181000	0	1	2015-01-01		D	3173,5	3173,5	SOC. COOP. SOCIALE A.R.L. CENTRO 24 ORE - SERV. TELESOCCORSO E TELEASSISTENZA DURATA TRIENNALE DAL 1/3/14		0	0		2014	717	DD||K				DEFINITIVO	S	20604					SVI							U.1.03.02.99.000	12	05			1333										30	1
73016627	I	2016	2015	425	0	0		1031038	0	1	2015-02-24		D	886,6	886,6	EDICOLANDIA - SERV. RINNOVO ABBONAMENTI A PERIODICI, RIVISTE, GIORNALI E PUBBLICAZ. VARIE PER UFF. COM.LI ANNO 2015		0	0		2015	458	DD||K				DEFINITIVO	S	20702				Z93133B052	SVI							U.1.03.02.99.000	01	03			1332										30	1
11449422	I	2016	2015	36	0	0		250001	0	1	2015-01-01		D	467,71	467,71	CONSORZIO SOCIAL B - SERV. PULIZIA EDIFICIO SCUOLA VALLOTTI E UFF. INFORMAGIOVANI DAL 1/4/14 AL 31/3/15		0	0		2014	1065	DD||K				DEFINITIVO	S	16445					SVI							U.1.03.02.13.000	01	03			1314										30	1
11711598	I	2016	2015	54	0	0		831001	0	1	2015-01-01		D	1170	1170	IL FRUTTETO - SERV. FACCHINAGGIO IN GENERE		0	0		2014	1107	DD||K				DEFINITIVO	S	19874					SVI							U.1.03.02.09.000	01	06			1314										30	1
73056859	I	2016	2015	433	0	0		2481000	0	1	2015-02-26		D	1000	1000	A.S.D. MARATONA DEL RISO - ORGANIZZAZ.MANIFESTAZ. SPORTIVA "VERCELLI RUN" 		0	0		2015	489	DD||K				DEFINITIVO	S	20430					SVI							U.1.03.02.99.000	06	01			1332										30	1
73066261	S	2016	2015	434	1	0		479000	0	1	2015-02-27		D	239,01	239,01	MODACOM		0	0		2015	498	DD||K				DEFINITIVO	S	8892				Z611351576	SVI							U.1.03.01.02.000	01	03			1208										30	1
11375580	I	2016	2015	6	0	0		376000	0	1	2015-01-01		N	35543,72	35543,72	M.T. SPA - AFFID.TO SERV. GESTIONE GLOBALE DEL CICLO VIOLAZIONI AL CODICE DELLA STRADA 2014/2016		0	0		2014	1474	DD||K				DEFINITIVO	N						SVI							U.1.03.02.99.000	03	01			1332										30	1
71924736	I	2016	2015	210	0	0		8870004	0	1	2015-01-22		P	2000	2000	VERS RIT 1/3 INPS LAV AUT OCCASIONALE SUP 5000 - ANNO 2015		0	0									N						SVI							U.7.01.03.02.000	99	01			4101										30	1
66127216	I	2016	2015	168	0	0		370000	0	1	2015-01-12		N	70,05	70,05	FORN. E SERVIZI PER SVOLGIMENTO COMPITI ISTITUZIONALI ANNO 2015		0	0		2015	47	DD||K				DEFINITIVO	N						SVI							U.1.03.02.99.000	01	03			1332										30	1
66127219	I	2016	2015	171	0	0		250001	0	1	2015-01-12		N	412,26	412,26	FORN. E SERVIZI PER SVOLGIMENTO COMPITI ISTITUZIONALI ANNO 2015		0	0		2015	48	DD||K				DEFINITIVO	N						SVI							U.1.03.02.13.000	01	03			1332										30	1
66127398	I	2016	2015	175	0	0		3500001	0	1	2015-01-12		N	15,1	15,1	FORN. E SERVIZI PER SVOLGIMENTO COMPITI ISTITUZIONALI ANNO 2015		0	0		2015	48	DD||K				DEFINITIVO	N						SVI							U.1.03.02.99.000	01	03			1332										30	1
72243821	I	2016	2015	213	0	0		8965000	0	1	2015-01-26		N	32659,02	32659,02	ATTIVITA' CONTRATTUALE CON SPESE A CARICO TERZI ANNO 2015		0	0		2015	180	DD||K				DEFINITIVO	N						SVI							U.7.02.99.99.000	99	01			4503										30	1
