IMPEGNO_ID	TIPO_MOVIMENTO	ANNO_ESERCIZIO	ANNO_IMPEGNO	NUMERO_IMPEGNO	NUMERO_SUBIMPEGNO	PLURIENNALE	CAPO_RIACC	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DATA_EMISSIONE	DATA_SCADENZA	STATO_OPERATIVO	IMPORTO_INIZIALE	IMPORTO_ATTUALE	DESCRIZIONE	ANNO_CAPITOLO_ORIG	NUMERO_CAPITOLO_ORIG	NUMERO_ARTICOLO_ORIG	NUMERO_UEB_ORIG	ANNO_PROVVEDIMENTO	NUMERO_PROVVEDIMENTO	TIPO_PROVVEDIMENTO	SAC_PROVVEDIMENTO	OGGETTO_PROVVEDIMENTO	NOTE_PROVVEDIMENTO	STATO_PROVVEDIMENTO	SOGGETTO_DETERMINATO	CODICE_SOGGETTO	CLASSE_SOGGETTO	NOTA	CUP	CIG	TIPO_IMPEGNO	ANNO_IMPEGNO_PLUR	NUMERO_IMPEGNO_PLUR	ANNO_IMPEGNO_RIACC	NUMERO_IMPEGNO_RIACC	OPERA	COD_INTERV_CLASS	PDC_FINANZIARIO	MISSIONE	PROGRAMMA	COFOG	TRANSAZIONE_UE_SPESA	SIOPE_SPESA	SPESA_RICORRENTE	PERIMETRO_SANITARIO_SPESA	POLITICHE_REGIONALI_UNITARIE	PDC_ECONOMICO_PATR	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	ENTE_PROPRIETARIO_ID	PARERE_FINANZIARIO
1	I	2016	2016	607	0	N	N	7278001	0	1	2016-01-01		N	140	140	MUTUO PER LAVORI DI MANUTENZ. COORD. SUOLO PUBB. - ANNO 2011 - CONTO CONSUNTIVO 2015 IR-RO 2016-MUTUO	2016	0	0	1	2016	9999	DD||K				D	N	0					SVI			2015	1122			U.2.02.01.09.000	10	5		4	2102	1									30	1
2	I	2016	2016	608	0	N	N	7278001	0	1	2016-01-01		N	80000	80000	MUTUO PER LAVORI DI MANUTENZ. COORD. SUOLO PUBB. - ANNO 2011 - CONTO CONSUNTIVO 2015 IR-RO 2016-MUTUO	2016	0	0	1	2016	9999	DD||K				D	N	0					SVI			2015	1124			U.2.02.01.09.000	10	5		4	2102	1									30	1
3	I	2016	2016	609	0	N	N	6901000	0	1	2016-01-01		N	1981,82	1981,82	ACQUISIZIONE AREE - LEGGE 865/71 - CONTO CONSUNTIVO 2015 IR-RO 2016	2016	0	0	1	2016	9999	DD||K				D	N	0					SVI			2015	1261			U.2.02.02.01.000	8	1		4	2101	1									30	1
4	I	2016	2016	610	0	N	N	7600005	0	1	2016-01-01		N	69253,62	69253,62	UNIVERSITA' DEGLI STUDI DEL PIEMONTE ORIENTALE A. AVOGADRO - RESTAURO EX 18 PER AULA MAGNa - CONTO CONSUNTIVO 2015 IR-RO 2016	2016	0	0	1	2016	9999	DD||K				D	N	0					SVI			2015	1142			U.2.04.21.02.000	5	1		8	2721	1									30	1
5	I	2016	2016	611	0	N	N	7988001	0	1	2016-01-01		N	36000	36000	PROGETTO INTEGRATO DI SVILUPPO URBANO DELLA CITTA' DI VC - PARTE - CONTO CONSUNTIVO 2015 IR-RO 2016	2016	0	0	1	2016	9999	DD||K				D	N	0					SVI			2015	1269			U.2.02.01.10.000	8	1		3	2752	1									30	1
6	I	2016	2016	612	0	N	N	7278001	0	1	2016-01-01		N	74018,9	74018,9	MUTUO PER LAVORI DI MANUTENZ. COORD. SUOLO PUBB. - ANNO 2011 - CONTO CONSUNTIVO 2015 IR-RO 2016-MUTUO	2016	0	0	1	2016	9999	DD||K				D	N	0					SVI			2015	1133			U.2.02.01.09.000	10	5		4	2102	1									30	1
7	I	2016	2016	613	0	N	N	7278001	0	1	2016-01-01		N	8000	8000	MUTUO PER LAVORI DI MANUTENZ. COORD. SUOLO PUBB. - ANNO 2011 - CONTO CONSUNTIVO 2015 IR-RO 2016-MUTUO	2016	0	0	1	2016	9999	DD||K				D	N	0					SVI			2015	1133			U.2.02.01.09.000	10	5		4	2102	1									30	1
8	I	2016	2016	614	0	N	N	7278001	0	1	2016-01-01		N	15000	15000	MUTUO PER LAVORI DI MANUTENZ. COORD. SUOLO PUBB. - ANNO 2011 - CONTO CONSUNTIVO 2015 IR-RO 2016-MUTUO	2016	0	0	1	2016	9999	DD||K				D	N	0					SVI			2015	1133			U.2.02.01.09.000	10	5		4	2102	1									30	1
9	I	2016	2016	615	0	N	N	7278001	0	1	2016-01-01		N	35500,54	35500,54	MUTUO PER LAVORI DI MANUTENZ. COORD. SUOLO PUBB. - ANNO 2011 - CONTO CONSUNTIVO 2015 IR-RO 2016-MUTUO	2016	0	0	1	2016	9999	DD||K				D	N	0					SVI			2015	1133			U.2.02.01.09.000	10	5		4	2102	1									30	1
10	I	2016	2016	616	0	N	N	103003	0	1	2016-01-01		N	21739,39	21739,39	RETRIBUZIONE PERSONALE SERVIZIO RISORSE UMANE E ORGANIZZAZIONE: TRATTAMENTO ACCESSORIO - CONTO CONSUNTIVO 2015 RO 2016	2016	0	0	1	2016	9999	DD||K				D	N	0					SVI			2015	241			U.1.01.01.01.000	1	10		4	1103	1									30	1
