impegno_id	tipo_movimento	anno_esercizio	anno_impegno	numero_impegno	numero_subimpegno	pluriennale	capo_riacc	numero_capitolo	numero_articolo	numero_ueb	data_emissione	data_scadenza	stato_operativo	importo_iniziale	importo_attuale	descrizione	anno_capitolo_orig	numero_capitolo_orig	numero_articolo_orig	numero_ueb_orig	anno_provvedimento	numero_provvedimento	tipo_provvedimento	sac_provvedimento	oggetto_provvedimento	note_provvedimento	stato_provvedimento	soggetto_determinato	codice_soggetto	classe_soggetto	nota	cup	cig	tipo_impegno	anno_impegno_plur	numero_impegno_plur	anno_impegno_riacc	numero_impegno_riacc	opera	cod_interv_class	pdc_finanziario	missione	programma	cofog	transazione_ue_spesa	siope_spesa	spesa_ricorrente	perimetro_sanitario_spesa	politiche_regionali_unitarie	pdc_economico_patr	classificatore_1	classificatore_2	classificatore_3	classificatore_4	classificatore_5	ente_proprietario_id	parere_finanziario
7	I	2016	1995	2115	0		N	201060101	0	1	1995-12-31		N	 20010,06	 20010,06	MANUTENZIONE STRAORDINARIA FABBRICATI IMPIANTI DEPURAZIONE E ACQUE REFLUE MUTUO CASSA DD.PP. 2. FASE ALLUVIONE.					2016		SPR||				D	N						SVI																						29	1
8	I	2016	1995	1523	0		N	204020201	0	1	1995-12-31		N	 145819,88	 145819,88	LAVORI DI MANUTENZIONE STRAORDINARIA A SEGUITO ALLUVIONE DEL 6.11.94 NELL'EDIFICIO SCOLASTICO CARDUCCI DI ALESSANDRIA.					2016		SPR||				D	N						SVI																						29	1
2	S	2016	1994	1713	10		N	400000051	0	1	2008-05-28		D	 12000,0	 12000,0	Legge 438/95 - Ex Art. 1 sexies e s.i.m. - Piano degli intereventi e ricostruzione ponti. Realizzazione nuovo ponte " Tiziano " sul fiume Ta					2016		SPR||				D	S	100001					SVI												4503										29	1
3	S	2016	1994	1713	16		N	400000051	0	1	2009-03-10		D	 2500,0	 2500,0	REALIZZAZIONE NUOVO PONTE "FORLANINI", SUL FIUME TANARO e DISIMPEGNO VIARIO, nella zona sotto-ponte.       CORRESPONSIONE DELLE COMPETENZE ED INDENN					2016		SPR||				D	S	100001					SVI												4503										29	1
4	S	2016	1994	1713	17		N	400000051	0	1	2009-03-10		D	 22350,0	 22350,0	Rimborso danni alluvionali della prima decade del mese di novembre 1994. Liquidazione Pratica.					2016		SPR||				D	S	100001					SVI												4503										29	1
779	I	2016	2015	501	0		N	101023901	0	1	2015-04-01		N	 102000,0	 102000,0	U.1.03.02.18.001 D. LGS. 81/2008 Testo Unico sulla salute e sicurezza sul lavoro e s.m.i.. Impegno di spesa anno 2015. 					2016		SPR||				D	N						SVI												1332										29	1
845	I	2016	2015	1278	0		N	101030531	0	1	2015-11-24		N	 12000,0	 12000,0	EX IMP 1634/2012 Q.P. U.1.04.02.03.001 "Borsa di Studio Gustavo e Delfina Ivaldi¿. Approvazione Bando di Concorso  ed impegno di spesa di Euro 12.000,					2016		SPR||				D	N						SVI												1332										29	1
846	I	2016	2015	1233	0		N	101030531	0	1	2015-11-06		N	 25,39	 25,39	EX IMP 2632/07 E 2420/10 U.1.03.03.11.999 INDAGINE MULTISCOPO ¿INTEGRAZIONE DELLE SECONDE GENERAZIONI¿. IMP F.DI ISTAT PER ¿URO 87,60=. 					2016		SPR||				D	N						SVI												1332										29	1
847	I	2016	2015	1277	0		N	101030531	0	1	2015-11-23		N	 10559,68	 10559,68	EX 1355/2013 U.1.04.02.03.001 "Borsa di Studio LASCITO VERZETTI"  - esiti anno scolastico 2014/2015. Approvazione Bando di Concorso  ed impegno di s					2016		SPR||				D	N						SVI												1332										29	1
848	I	2016	2015	1237	0		N	101030531	0	1	2015-11-09		N	 50000,0	 50000,0	EX IMP 1315/14  U.1.03.02.99.999 Impegno di spesa di  euro 50.000,00 ¿Spese diverse derivanti dal riaccertamento straordinario finanziato con avanz					2016		SPR||				D	N						SVI												1332										29	1
