ACCERTAMENTO_ID	TIPO_MOVIMENTO	ANNO_ESERCIZIO	ANNO_ACCERTAMENTO	NUMERO_ACCERTAMENTO	NUMERO_SUBACCERTAMENTO	PLURIENNALE	CAPO_RIACC	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DATA_EMISSIONE	DATA_SCADENZA	STATO_OPERATIVO	IMPORTO_INIZIALE	IMPORTO_ATTUALE	DESCRIZIONE	ANNO_CAPITOLO_ORIG	NUMERO_CAPITOLO_ORIG	NUMERO_ARTICOLO_ORIG	NUMERO_UEB_ORIG	ANNO_PROVVEDIMENTO	NUMERO_PROVVEDIMENTO	TIPO_PROVVEDIMENTO	SAC_PROVVEDIMENTO	OGGETTO_PROVVEDIMENTO	NOTE_PROVVEDIMENTO	STATO_PROVVEDIMENTO	SOGGETTO_DETERMINATO	CODICE_SOGGETTO	CLASSE_SOGGETTO	NOTA	AUTOMATICO	ANNO_ACCERTAMENTO_PLUR	NUMERO_ACCERTAMENTO_PLUR	ANNO_ACCERTAMENTO_RIACC	NUMERO_ACCERTAMENTO_RIACC	OPERA	PDC_FINANZIARIO	TRANSAZIONE_UE_ENTRATA	SIOPE_ENTRATA	ENTRATA_RICORRENTE	PERIMETRO_SANITARIO_ENTRATA	PDC_ECONOMICO_PATR	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	ENTE_PROPRIETARIO_ID	PARERE_FINANZIARIO
70455956	A	2016	2015	3288	0	0		3686	0	1	2015-10-16		P	248,37	248,37	ENERGIA DA FOTOVOLTAICO SCAMBIO SUL POSTO DELIBERA AEEG N. 74/08 CONVENZIONE SSP00240659 FATT. 2 DEL 12/05/2015 		0	0									S	91558	91558GESTORE DEI SERVIZI ENERGETICI S.P.A. 		N																	32	0
70943287	A	2016	2015	3674	0	0		3686	0	1	2015-11-05		P	49,67	49,67	ENERGIA DA FOTOVOLTAICO SCAMBIO SUL POSTO DELIBERA AEEG N. 74/08 CONVENZIONE SSP00240659 FATT. 3 DEL 17/09/2015 		0	0									S	91558	91558GESTORE DEI SERVIZI ENERGETICI S.P.A. 		N																	32	0
72085238	A	2016	2015	4445	0	0		3133	0	1	2015-12-28		P	206	206	C.C.P. 23/12/2015 BOLL. 21/12/2015 SANZIONE AMM.VA NON NOTIFICATA VERBALE 25 /2015 C.F.S. CANELLI PER VIOLAZIONE NORME IN MATERIA DI CACCIA		0	0									S	91710	91710MORAGLIO ANGELO		N																	32	0
72187136	A	2016	2015	4482	0	0		2860	0	1	2015-12-31		P	60	60	C.C.P. 30/12/2015 DIRITTI ISTRUTTORIA PER CONCESSIONE N. 28028 RECINZIONE		0	0									S	93744	93744FIORITTI GIANLUCA 		N																	32	0
72084943	A	2016	2015	4440	0	0		2850	0	1	2015-12-28		P	60	60	C.C.P. 17/12/2015 DIRITTI DI ISTRUTTORIA PER REGOLARIZZO ACCESSO CIVILE N. 30160		0	0									S	98487	98487BILETTA ALESSANDRO		N																	32	0
71934161	A	2016	2015	4373	0	0		20	0	1	2015-12-16		P	3446,03	3446,03	CONTO COSAP BONIFICO 02/12/2015 SOMMA ERRONEAMENTE VERSATA A FAVORE ENTE DA RESTITUIRE ALLA DITTA IMMOBILIARE CASSINASCO 		0	0									S	100937	100937IMMOBILIARE CASSINASCO DI GALESE ESTER E C SNC 		N																	32	0
72084944	A	2016	2015	4441	0	0		2860	0	1	2015-12-28		P	30	30	C.C.P. 17/12/2015  DIRITTI ISTRUTTORIA PER CONCESSIONE TEMPORANEA		0	0									S	100990	100990ANGELONE DOMENICO		N																	32	0
72085236	A	2016	2015	4443	0	0		2860	0	1	2015-12-28		P	60	60	C.C.P. TELEMATICO 19/12/2015 DIRITTI DI ISTRUTTORIA PER CONCESSIONE N. 30187 IN FASCIA DI RISPETTO		0	0									S	100991	100991GAY ASSUNTA		N																	32	0
72085239	A	2016	2015	4446	0	0		2860	0	1	2015-12-28		P	150	150	C.C.P. 23/12/2015 DIRITTI ISTRUTTORIA PER CONCESSIONE N. 30158 PUBBLICITA' PERMANENTE		0	0									S	100992	100992FARMACIA DEL BOGLIETTO SNC 		N																	32	0
72085466	A	2016	2015	4448	0	0		2860	0	1	2015-12-28		P	60	60	C.C.P. 24/12/2015 DIRITTI ISTRUTTORIA PER CONCESSIONE POS. 19911 RECINZIONE		0	0									S	100993	100993CANEPA MASSIMILIANO		N																	32	0
72122032	A	2016	2015	4467	0	0		2860	0	1	2015-12-30		P	60	60	C.C.P. 28/12/2015 DIRITTI ISTRUTTORIA PER CONCESSIONE N. 30172 IN FASCIA DI RISPETTO		0	0									S	100999	100999GRASSO ANNAPIERA		N																	32	0
72187135	A	2016	2015	4481	0	0		3162	0	1	2015-12-31		P	100	100	C.C.P. TELEMATICO 30/12/2015 DIRITTI DI SEGRETERIA PER L.R. 40/98 SERVIZIO AMBIENTE 		0	0									S	101027	101027GRANA PAOLO		N																	32	0
72085469	A	2016	2015	4451	0	0		3135	0	1	2015-12-28		P	460	460	C.C.P. DAL 07/12/2015 AL 31/12/2015 DIRITTI PER LICENZA CONTO PROPRIO CONTO TERZI E SERVIZIO TRASPORTI DA DIVERSI NOMINATIVI		0	0									N				N																	32	0
72044179	A	2016	2015	4414	0	0		3350	0	1	2015-12-22		P	7125,02	7125,02	CONTO COSAP DAL 01/12/2015 AL 31/12/2015 BOLLETTINI E NOMINATIVI DIVERSI 		0	0									N				N																	32	0
72085640	A	2016	2015	4452	0	0		4310	0	1	2015-12-28		P	270	270	C.C.P. DAL 07/12/2015 AL 28/12/2015 CORSO PATENTINI FITOFARMACI DA DIVERSI NOMINATIVI		0	0									N				N																	32	0
61684602	A	2016	2013	1687	0	0		2770	0	1	2013-06-06		P	955,45	955,45	UTILIZZO PALESTRE PERIODO GENNAIO MAGGIO  E SETTEMBRE DICEMBRE 2013 FATT. DA N. 1 A N. 71		0	0									N				N																	32	0
61688509	A	2016	2011	2444	0	0		2770	0	1	2011-07-07		P	2460	2460	UTILIZZO PALESTRE PERIODO GENNAIO MAGGIO E SETTEMBRE DICEMBRE 2011		0	0									N				N																	32	0
61691154	A	2016	2014	1415	0	0		2770	0	1	2014-05-22		P	274,58	274,58	UTILIZZO PALESTRE PERIODO GENNAIO MAGGIO E SETTEMBRE DICEMBRE 2014 FATT. DA N. 1 A N. 68		0	0									N				N																	32	0
67376205	A	2016	2015	1249	0	0		2770	0	1	2015-05-21		P	6821,91	6821,91	UTILIZZO PALESTRE PERIODO DA GENNAIO A MAGGIO E DA SETTEMBRE A DICEMBRE  2015 FATT. DA N. 1 A N. 56 		0	0									N				N																	32	0
