IMPEGNO_ID	TIPO_MOVIMENTO	ANNO_ESERCIZIO	ANNO_IMPEGNO	NUMERO_IMPEGNO	NUMERO_SUBIMPEGNO	PLURIENNALE	CAPO_RIACC	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DATA_EMISSIONE	DATA_SCADENZA	STATO_OPERATIVO	IMPORTO_INIZIALE	IMPORTO_ATTUALE	DESCRIZIONE	ANNO_CAPITOLO_ORIG	NUMERO_CAPITOLO_ORIG	NUMERO_ARTICOLO_ORIG	NUMERO_UEB_ORIG	ANNO_PROVVEDIMENTO	NUMERO_PROVVEDIMENTO	TIPO_PROVVEDIMENTO	SAC_PROVVEDIMENTO	OGGETTO_PROVVEDIMENTO	NOTE_PROVVEDIMENTO	STATO_PROVVEDIMENTO	SOGGETTO_DETERMINATO	CODICE_SOGGETTO	CLASSE_SOGGETTO	NOTA	CUP	CIG	TIPO_IMPEGNO	ANNO_IMPEGNO_PLUR	NUMERO_IMPEGNO_PLUR	ANNO_IMPEGNO_RIACC	NUMERO_IMPEGNO_RIACC	OPERA	COD_INTERV_CLASS	PDC_FINANZIARIO	MISSIONE	PROGRAMMA	COFOG	TRANSAZIONE_UE_SPESA	SIOPE_SPESA	SPESA_RICORRENTE	PERIMETRO_SANITARIO_SPESA	POLITICHE_REGIONALI_UNITARIE	PDC_ECONOMICO_PATR	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	ENTE_PROPRIETARIO_ID	PARERE_FINANZIARIO
67511830	I	2016	2015	1525	0	0		26950	0	1	2015-05-26		N	64075,45	64075,45	REGIONE PIEMONTE-TRIBUTO SPECIALE DEPOSITO IN DISCARICA RIFIUTI SOLIDI 1' TRIM. 2015		0	0		2015	138	DD||K				DEFINITIVO	N						SVI							U.1.04.01.02.000	09	03			1501										32	1
66101659	I	2016	2015	536	0	0		22400	0	1	2015-03-17		N	16,49	16,49	FORNITURA CONGLOMERATO BITUMINOSO A FREDDO PER MANUTENZIONE SS.PP.-DITTA C.M. STRADE SRL		0	0		2015	239	DD||K				DEFINITIVO	N					ZB3138C72A	SVI							U.1.03.01.02.000	10	05			1210										32	1
66040437	I	2016	2015	517	0	0		20755	0	1	2015-03-12		N	12,2	12,2	ANTICIPO SPESE VARIE ECONOMO PROV.LE		0	0		2015	80	DD||K				DEFINITIVO	N						SVI							U.1.03.02.01.000	10	02			1332										32	1
66040438	I	2016	2015	518	0	0		20260	0	1	2015-03-12		N	94,32	94,32	ANTICIPO SPESE VARIE ECONOMO PROV.LE		0	0		2015	80	DD||K				DEFINITIVO	N						SVI							U.1.03.01.02.000	10	02			1210										32	1
66040436	I	2016	2015	516	0	0		22750	0	1	2015-03-12		N	3,63	3,63	MANUTENZ. ORDINARIA RETE ILLUMINAZIONE PUBBLICA COMPRESI CENTRI LUMINOSI AD ENERGIA FOTOVOLTAICA-DITTA OSSOLA IMPIANTI SRL		0	0		2015	78	DD||K				DEFINITIVO	N					Z0D12E4CF6	SVI							U.1.03.02.09.000	10	05			1311										32	1
65815322	I	2016	2015	441	0	0		22750	0	1	2015-03-03		N	0,27	0,27	INSABBIATURA SS.PP. DEI 3 REPARTI STAGIONE INVERNALE 2014/2015 (CIG INDICATI IN DD.)		0	0		2015	171	DD||K				DEFINITIVO	N						SVI							U.1.03.02.09.000	10	05			1311										32	1
67731840	I	2016	2015	1641	0	0		14259	0	1	2015-06-09		N	0	8255	MERCATO DEL LAVORO-SECONDE ANNUALITA'		0	0		2015	140	DD||K				DEFINITIVO	N						SVI							U.1.03.02.99.000	15	02			1310										32	1
67183991	I	2016	2015	899	0	0		12570	0	1	2015-05-11		N	0	4145,6	MANUTENZIONE ORDINARIA EDIFICI PROV.LI		0	0		2015	75	DD||K				DEFINITIVO	N						SVI							U.1.03.02.09.000	04	02													32	1
67185200	I	2016	2015	900	0	0		5850	0	1	2015-05-11		N	0	3000	MANUTENZIONE ORDINARIA EDIFICI PROV.LI		0	0		2015	75	DD||K				DEFINITIVO	N						SVI							U.1.03.02.09.000	01	05													32	1
66721021	I	2016	2015	720	0	0		14211	0	1	2015-04-20		N	0	12980	DIRETTIVA FCI ANNO 2014		0	0		2015	85	DD||K				DEFINITIVO	N						SVI							U.1.03.02.99.000	15	02			1310										32	1
65992112	I	2016	2015	511	0	0		9140	0	1	2015-03-10		N	1,45	1,45	ANTICIPO SPESE VARIE ECONOMO PROV.LE		0	0		2015	78	DD||K				DEFINITIVO	N						SVI							U.1.03.02.99.000	01	11			1332										32	1
65815321	I	2016	2015	440	0	0		22750	0	1	2015-03-03		N	1262,55	1262,55	PRESTAZIONI DI SGOMBERO NEVE LUNGO LE SS.PP. DEI 3 REPARTI STAGIONE INVERNALE 2014/2015 (CIG INDICATI IN DD.)		0	0		2015	174	DD||K				DEFINITIVO	N						SVI							U.1.03.02.09.000	10	05			1311										32	1
67253080	I	2016	2015	1292	0	0		12906	0	1	2015-05-13		N	1000	1000	CONTRIBUTO CONTO ENERGIA IMPIANTO FOTOVOLTAICO IST. CASTIGLIANO D'ASTI SUCC. CASTELNUOVO DON BOSCO ANNO 2014		0	0		2014	1236	DD||K				DEFINITIVO	N						SVI							U.1.04.01.01.000	04	02													32	1
69225185	I	2016	2015	2111	0	0		22750	0	1	2015-08-18		N	5416,8	5416,8	MANUTENZIONE STRADE DEL 3' REPARTO PUNTI PERICOLOSI - DITTA ABATE FRANCO		0	0		2015	590	DD||K				DEFINITIVO	N					Z4315A73A7	SVI							U.1.03.02.09.000	10	05			1312										32	1
69019407	I	2016	2015	2097	0	0		8750	0	1	2015-08-07		N	1	1	ANTICIPO SPESE VARIE E URGENTI ECONOMO PROV.LE		0	0		2015	85	DD||K				DEFINITIVO	N						SVI							U.1.03.01.02.000	01	08			1203										32	1
68466220	I	2016	2015	1913	0	0		35974	0	1	2015-07-15		N	2350	2350	INTEGRAZIONE LAVORATIVA PERSONE CON DISABILITA'-COMUNE DI ASTI (PER R.M.)		0	0		2015	141	DD||K				DEFINITIVO	N						SVI							U.1.04.01.02.000	15	03													32	1
68179004	I	2016	2015	1804	0	0		22300	0	1	2015-06-29		N	26,21	26,21	FORNITURA VESTIARIO ANTINFORTUNISTICO ESTIVO PER OPERATORI VIABILITA'-DITTA DIMA		0	0		2015	212	DD||K				DEFINITIVO	N					ZF7152032C	SVI							U.1.03.01.02.000	10	05			1208										32	1
68179001	I	2016	2015	1801	0	0		3900	0	1	2015-06-29		N	1303	1303	NOLEGGIO 2 FOTOCOPIATRICI MULTIFUNZIONE PER CORRIDOIO PRIMO PIANO E CORRIDOIO TERZO PIANO 1/7-31/12/2015-OLIVETTI SPA		0	0		2015	202	DD||K				DEFINITIVO	N					Z34123CB43	SVI							U.1.03.02.07.000	01	03			1401										32	1
68172024	I	2016	2015	1799	0	0		3900	0	1	2015-06-29		N	399,47	399,47	NOLEGGIO 2 FOTOCOPIATRICI PER CIM DI ASTI E PROTEZIONE CIVILE 1/7-28/11/2015-ZUCCHETTI INFORMATICA SPA		0	0		2015	199	DD||K				DEFINITIVO	N					Z530168BD7	SVI							U.1.03.02.07.000	01	03			1401										32	1
68172022	I	2016	2015	1797	0	0		3900	0	1	2015-06-29		N	256,06	256,06	NOLEGGIO FOTOCOPIATRICE PER UFFICIO STIPENDI (ORA FORMAZIONE) 1/7-31/12/2015-ZUCCHETTI INFORMATICA SPA		0	0		2015	197	DD||K				DEFINITIVO	N					Z0003D3FA8	SVI							U.1.03.02.07.000	01	03			1401										32	1
67660823	I	2016	2015	1595	0	0		14222	0	1	2015-06-04		N	0	79920	ATTIVITA' FORMATIVE PER APPRENDISTI 2015		0	0		2015	139	DD||K				DEFINITIVO	N						SVI							U.1.03.02.99.000	15	02			1310										32	1
67660820	I	2016	2015	1593	0	0		35974	0	1	2015-06-04		N	2350	2350	INTEGRAZIONE LAVORATIVA PERSONE CON DISABILITA'-CISA ASTI SUD PER C.R.		0	0		2015	109	DD||K				DEFINITIVO	N						SVI							U.1.04.01.02.000	15	03													32	1
66555695	I	2016	2015	691	0	0		22400	0	1	2015-04-09		N	15,27	15,27	FORNITURA CONGLOMERATO BITUMINOSO A FREDDO PER MANUTENZ. SS.PP.-DITTA C.M. STRADE SRL		0	0		2015	312	DD||K				DEFINITIVO	N					Z9E13EB527	SVI							U.1.03.01.02.000	10	05			1210										32	1
66417062	I	2016	2015	679	0	0		22400	0	1	2015-03-30		N	3,05	3,05	FORNITURA MALTA BITUMINOSA PER CHIUSURA FESSURAZIONE MANTO STRADALE SP 12 NEL COMUNE DI CISTERNA-DITTA EDILPAVIMENTAZIONI SRL		0	0		2015	300	DD||K				DEFINITIVO	N					Z7D13C4B63	SVI							U.1.03.01.02.000	10	05			1210										32	1
66058361	I	2016	2015	522	0	0		8750	0	1	2015-03-13		N	50,01	50,01	ANTICIPO SPESE VARIE E URGENTI ECONOMO PROV.LE		0	0		2015	30	DD||K				DEFINITIVO	N						SVI							U.1.03.01.02.000	01	08			1203										32	1
65903231	I	2016	2015	483	0	0		14220	0	1	2015-03-05		N	0	77890	ATTIVITA' FORMATIVE PER APPRENDISTI 2014		0	0		2015	64	DD||K				DEFINITIVO	N						SVI							U.1.03.02.99.000	15	02			1310										32	1
65886169	I	2016	2015	481	0	0		7856	0	1	2015-03-05		N	82,47	82,47	IRAP SU INCENTIVI PROGETTAZIONE		0	0		2015	44	DD||K				DEFINITIVO	N						SVI							U.1.02.01.01.000	01	06			1701										32	1
65886168	I	2016	2015	480	0	0		7156	0	1	2015-03-05		N	260,05	260,05	ONERI SU INCENTIVI PROGETTAZIONE		0	0		2015	44	DD||K				DEFINITIVO	N						SVI							U.1.01.02.01.000	01	06			1111										32	1
65886167	I	2016	2015	479	0	0		7311	0	1	2015-03-05		N	970,25	970,25	INCENTIVI PROGETTAZIONE		0	0		2015	44	DD||K				DEFINITIVO	N						SVI							U.1.01.01.01.000	01	06			1103										32	1
65591876	I	2016	2015	297	0	0		14256	0	1	2015-02-19		N	0	95472	MERCATO DEL LAVORO A.F. 2014/2015		0	0		2015	53	DD||K				DEFINITIVO	N						SVI							U.1.03.02.99.000	15	02			1310										32	1
