ACCERTAMENTO_ID	TIPO_MOVIMENTO	ANNO_ESERCIZIO	ANNO_ACCERTAMENTO	NUMERO_ACCERTAMENTO	NUMERO_SUBACCERTAMENTO	PLURIENNALE	CAPO_RIACC	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DATA_EMISSIONE	DATA_SCADENZA	STATO_OPERATIVO	IMPORTO_INIZIALE	IMPORTO_ATTUALE	DESCRIZIONE	ANNO_CAPITOLO_ORIG	NUMERO_CAPITOLO_ORIG	NUMERO_ARTICOLO_ORIG	NUMERO_UEB_ORIG	ANNO_PROVVEDIMENTO	NUMERO_PROVVEDIMENTO	TIPO_PROVVEDIMENTO	SAC_PROVVEDIMENTO	OGGETTO_PROVVEDIMENTO	NOTE_PROVVEDIMENTO	STATO_PROVVEDIMENTO	SOGGETTO_DETERMINATO	CODICE_SOGGETTO	CLASSE_SOGGETTO	NOTA	AUTOMATICO	ANNO_ACCERTAMENTO_PLUR	NUMERO_ACCERTAMENTO_PLUR	ANNO_ACCERTAMENTO_RIACC	NUMERO_ACCERTAMENTO_RIACC	OPERA	PDC_FINANZIARIO	TRANSAZIONE_UE_ENTRATA	SIOPE_ENTRATA	ENTRATA_RICORRENTE	PERIMETRO_SANITARIO_ENTRATA	PDC_ECONOMICO_PATR	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	ENTE_PROPRIETARIO_ID	PARERE_FINANZIARIO
41914483	A	2016	2016	28	0	1		40001000	0	1	2015-12-31		P	600000	600000	CONTRIBUTO MITIGAZIONE RISCHIO IDROGEOLOGICO - 2016		0	0									N				N																	31	0
41914481	A	2016	2016	26	0	1		20000700	0	1	2015-12-31		P	16860	16860	SALDO CONTRIBUTO SERVIZI DI ACCOMPAGNAMENTO ED ASSISTENZA TECNICA A FAVORE DELL'AUTOIMPIEGO E DELLA CREAZIONE D'IMPRESA - LR 34/2008 (DDR N. 723 DEL 18/09/2015) 		0	0									S	262			N																	31	0
41914482	A	2016	2016	27	0	1		20003100	0	1	2015-12-31		P	371795,28	371795,28	CONTRIBUTO CATALOGO OFFERTA FORMATIVA F.C.I. FORMAZIONE CONTINUA INDIVIDUALE ANNO 2014 MODIFICA E PROROGA 2015 (CAP. SPESA 2069/3-2015 - EX ACC. 59/2015) 		0	0									S	262			N																	31	0
38495014	A	2016	2016	12	0	0		20003800	0	1	2016-01-01		P	119101,62	119101,62	CONTRIBUTO DIRETTIVA APPRENDISTATO PROFESSIONALIZZANTE - 2012/2014 - DGR N. 64/2012 - DET. REG.LE N. 650 DEL 13/11/20012		0	0									S	262			N																	31	0
38495006	A	2016	2016	7	0	0		20003600	0	1	2016-01-01		P	276453,23	276453,23	DIRETTIVA DIRITTO/DOVERE ISTRUZ. E FORMAZ. PROF.LE - FONDI STATALI - DGR N. 13-6025 DEL 28/06/2013     (PEG SPESA 2074/2)     -     VEDI ANCHE ACC. 236/2014		0	0									S	262			N																	31	0
38494950	A	2016	2016	4	0	0		20003500	0	1	2016-01-01		P	415173,5	415173,5	DIRETTIVA DIRITTO/DOVERE ISTRUZIONE E FORMAZ. PROF.LE - FONDI COMUNITARI - DGR N. 13-6025 DEL 28/06/2013   (PEG SPESA 2074/1)		0	0									S	262			N																	31	0
38494954	A	2016	2016	6	0	0		20003600	0	1	2016-01-01		P	86236,26	86236,26	DIRETTIVA DIRITTO/DOVERE - OBBLIGO ISTRUZIONE - FONDI STATALI - VI CICLO   (DGR N. 33-4189/2012 - SPESA PEG 2074/2)   -  VEDI ACC. N. 215-216 DEL 2015		0	0									S	262			N																	31	0
38495068	A	2016	2016	13	0	0		20000500	0	1	2016-01-01		D	14866,18	14866,18	CONTRIBUTO L.R. 34/2008 - IMPIEGO TEMP. E STRAORD. LAV. DISOCCUPATI IN CANTIERI DI LAVORO - 2014     (DGR N. 22-7439 DEL 15/04/2014 - DDR. 342 DEL 06/05/2014)     -     CAP SPESA 4750/2014		0	0		2014	1955	D4||K				DEFINITIVO	S	262			N																	31	1
38495008	A	2016	2016	9	0	0		20003700	0	1	2016-01-01		P	285986,03	285986,03	DIRETTIVA OBBLIGO DI ISTRUZIONE 2012/2015 - VI CICLO - DGR N. 33-4189/2012 (BILANCIO REG.LE) SPESA PEG 2074/3  -  VEDI ANCHE ACC. 360/2012		0	0									S	262			N																	31	0
38495070	A	2016	2016	15	0	0		20000700	0	1	2016-01-01		P	9308	9308	CONTRIBUTOl F.S.E. - Obiettivo 3 Misure A2 - A3 - B1 - D3 - E1 LINEA 1 (PRESTAZ. SERVIZIO-VOUCHER DI CONCILIAZIONE - DGR N. 53-8998 DEL 16/06/08) - 2010		0	0									S	262			N																	31	0
