IMPEGNO_ID	TIPO_MOVIMENTO	ANNO_ESERCIZIO	ANNO_IMPEGNO	NUMERO_IMPEGNO	NUMERO_SUBIMPEGNO	PLURIENNALE	CAPO_RIACC	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DATA_EMISSIONE	DATA_SCADENZA	STATO_OPERATIVO	IMPORTO_INIZIALE	IMPORTO_ATTUALE	DESCRIZIONE	ANNO_CAPITOLO_ORIG	NUMERO_CAPITOLO_ORIG	NUMERO_ARTICOLO_ORIG	NUMERO_UEB_ORIG	ANNO_PROVVEDIMENTO	NUMERO_PROVVEDIMENTO	TIPO_PROVVEDIMENTO	SAC_PROVVEDIMENTO	OGGETTO_PROVVEDIMENTO	NOTE_PROVVEDIMENTO	STATO_PROVVEDIMENTO	SOGGETTO_DETERMINATO	CODICE_SOGGETTO	CLASSE_SOGGETTO	NOTA	CUP	CIG	TIPO_IMPEGNO	ANNO_IMPEGNO_PLUR	NUMERO_IMPEGNO_PLUR	ANNO_IMPEGNO_RIACC	NUMERO_IMPEGNO_RIACC	OPERA	COD_INTERV_CLASS	PDC_FINANZIARIO	MISSIONE	PROGRAMMA	COFOG	TRANSAZIONE_UE_SPESA	SIOPE_SPESA	SPESA_RICORRENTE	PERIMETRO_SANITARIO_SPESA	POLITICHE_REGIONALI_UNITARIE	PDC_ECONOMICO_PATR	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	ENTE_PROPRIETARIO_ID	PARERE_FINANZIARIO
41395503	I	2016	2016	140	0	0		10025400	0	1	2016-01-01		N	7800	7800	CAPI CANTONIERI-ANTICIPAZIONE FONDI PER MINUTE SPESE ANNO 2016 		0	0		2015	10	S6||K				DEFINITIVO	N						SVI												1212										31	1
38480050	I	2016	2016	99	0	0		10028100	0	1	2016-01-01		N	1000	1000	DIVERSI-UFFICIO PROV.LE PUBBLICA TUTELA		0	0		2012	3449	S4||K				DEFINITIVO	N						SVI																						31	1
38479999	I	2016	2017	9	0	1		10028100	0	1	2016-01-01		N	1000	1000	DIVERSI-UFFICIO PROV.LE PUBBLICA TUTELA		0	0		2012	3449	S4||K				DEFINITIVO	N						SVI																						31	1
41921748	I	2016	2016	156	0	0		10005600	0	1	2016-01-22		P	2000	2000	ECONOMATO/CASSA ECON-SPESE IN ECONOMIA ANNO 2016-MATERIALE VARIO(CARTUCCE TONER)		0	0									N						SVI																						31	1
41921629	I	2016	2016	155	0	0		10005600	0	1	2016-01-22		P	2500	2500	ECONOMATO/CASSA ECON-SPESE IN ECONOMIA ANNO 2016		0	0									N						SVI																						31	1
40201393	I	2016	2016	130	0	0		10005600	0	1	2016-01-01		D	18765,83	18765,83	FERRARI E GIANETTI- FORNITURA CARTUCCE E TONER PERIODO 14/09/2015 AL 14/09/2016		0	0		2015	2186	S7||K				DEFINITIVO	S	60					SVI												1201										31	1
38476453	I	2016	2016	47	0	0		20004400	0	1	2016-01-01		N	50000	50000	DIVERSI-SISTEMAZIONE PONTE SUL FIUME SESIA A VERCELLI		0	0		2014	2023	S6||K				DEFINITIVO	N				D91B09000150003	0383224671	SVI																						31	1
38476331	I	2016	2016	46	0	0		20004400	0	1	2016-01-01		N	370,93	370,93	DIVERSI-SP 299 "DI ALAGNA" MIGLIORAMENTO SICUREZZA CIRCOLAZIONE E BARRIERE STRADALI AREA ALTA VALSESIA COM.VARALLO,VOCCA,SCOPELLO,PILA,PIODE,CAMPERTOGNO,RIVA VALDOBBIA 3° LOTTO		0	0		2014	2218	S6||K				DEFINITIVO	N					489002504	SVI																						31	1
38476213	I	2016	2016	45	0	0		20004400	0	1	2016-01-01		N	1831,35	1831,35	DIVERSI-SP 299 "DI ALAGNA" MIGLIORAMENTO SICUREZZA CIRCOLAZIONE E BARRIERE STRADALI AREA ALTA VALSESIA COM.VARALLO,VOCCA,SCOPELLO,PILA,PIODE,CAMPERTOGNO,RIVA VALDOBBIA 3° LOTTO		0	0		2014	2218	S6||K				DEFINITIVO	N					489002504	SVI																						31	1
38476571	I	2016	2017	3	0	1		20004400	0	1	2016-01-01		N	5502,87	5502,87	DIVERSI-LAV. VARIANTE ABITATO DI GHISLARENGO EX SS 594 "DESTRA SESIA" 1° LOTTO FUNZIONALE		0	0		2013	1364	S6||K				DEFINITIVO	N				D91B9000150003		SVI																						31	1
38476573	I	2016	2016	49	0	0		20004400	0	1	2016-01-01		N	5000	5000	DIVERSI-LAV. VARIANTE ABITATO DI GHISLARENGO EX SS 594 "DESTRA SESIA" 1° LOTTO FUNZIONALE		0	0		2013	1364	S6||K				DEFINITIVO	N				D91B9000150003		SVI																						31	1
38476509	I	2016	2016	48	0	0		20004400	0	1	2016-01-01		N	4000	4000	DIVERSI-LAV. VARIANTE ABITATO DI GHISLARENGO EX SS 594 "DESTRA SESIA" 1° LOTTO FUNZIONALE		0	0		2013	1364	S6||K				DEFINITIVO	N				D91B9000150003		SVI																						31	1
38479396	I	2016	2017	6	0	1		20004400	0	1	2016-01-01		N	695449,98	695449,98	SP 455 "DI PONTESTURA" ADEGUAMENTO CARREGGIATA TRATTO VERCELLI-TRICERRO 2° LOTTO FUNZIONALE		0	0		2015	2151	S6||K				DEFINITIVO	N				D11B14000400002	61373930ED	SVI												2102										31	1
38479034	I	2016	2016	64	0	0		20004400	0	1	2016-01-01		N	2000000	2000000	SP 455 "DI PONTESTURA" ADEGUAMENTO CARREGGIATA TRATTO VERCELLI-TRICERRO 2° LOTTO FUNZIONALE		0	0		2015	2151	S6||K				DEFINITIVO	N				D11B14000400002	61373930ED	SVI												2102										31	1
38476385	I	2016	2017	2	0	1		20004400	0	1	2016-01-01		N	56000	56000	SP 455 "DI PONTESTURA" ADEGUAMENTO CARREGGIATA TRATTO VERCELLI-TRICERRO 2° LOTTO FUNZIONALE (ESPROPRI)		0	0		2015	1628	S6||K				DEFINITIVO	N				D11B14000400002	61373930ED	SVI												2102										31	1
38481258	I	2016	2016	127	0	0		10027500	0	1	2016-01-01		N	10081,72	10081,72	DIVERSI-SPESE PER SERVIZIO DI AVVISI DI EMERGENZA DELLA PROTEZIONE CIVILE		0	0		2011	112	S6||K				DEFINITIVO	N						SVI																						31	1
41941439	I	2016	2016	270	0	0		10033700	0	1	2016-02-02		N	4026,09	4026,09	COMUNE DI SERRVALLE/VERCELLI1/VERCELLI2/ASIGLIANO/BORGOSESIA-L.R. 34/08 IMPIEGO TEMPORANEO E STRAODINARIO SOGGETTI SOTTOPOSTI A MISURE RESTRITTIVE LIBERTA' IN CANTIERI DI LAVORO ENTI LOCALI ESERCIZIO 2014 ULTERIORI ASSEGNAZIONI CONTRIBUTO REGIONALE FPV		0	0		2015	3249	S4||K				DEFINITIVO	N						SVI												1521										31	1
41941438	I	2016	2016	269	0	0		10033700	0	1	2016-02-02		N	15657,61	15657,61	COMUNI DI SERRAVALLE SESIA/VERCELLI 1 E 2/ASIGLIANO/BORGOSESIA- L.R. 34/08 IMPIEGO TEMPORANEO E STRAODINARIO SOGGETTI SOTTOPOSTI A MISURE RESTRITTIVE LIBERTA' IN CANTIERI DI LAVORO ENTI LOCALI ESERCIZIO 2014 FINANZIAMENTO REGIONALE FPV		0	0		2015	1956	S4||K				DEFINITIVO	N						SVI												1523										31	1
