IMPEGNO_ID	TIPO_MOVIMENTO	ANNO_ESERCIZIO	ANNO_IMPEGNO	NUMERO_IMPEGNO	NUMERO_SUBIMPEGNO	PLURIENNALE	CAPO_RIACC	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DATA_EMISSIONE	DATA_SCADENZA	STATO_OPERATIVO	IMPORTO_INIZIALE	IMPORTO_ATTUALE	DESCRIZIONE	ANNO_CAPITOLO_ORIG	NUMERO_CAPITOLO_ORIG	NUMERO_ARTICOLO_ORIG	NUMERO_UEB_ORIG	ANNO_PROVVEDIMENTO	NUMERO_PROVVEDIMENTO	TIPO_PROVVEDIMENTO	SAC_PROVVEDIMENTO	OGGETTO_PROVVEDIMENTO	NOTE_PROVVEDIMENTO	STATO_PROVVEDIMENTO	SOGGETTO_DETERMINATO	CODICE_SOGGETTO	CLASSE_SOGGETTO	NOTA	CUP	CIG	TIPO_IMPEGNO	ANNO_IMPEGNO_PLUR	NUMERO_IMPEGNO_PLUR	ANNO_IMPEGNO_RIACC	NUMERO_IMPEGNO_RIACC	OPERA	COD_INTERV_CLASS	PDC_FINANZIARIO	MISSIONE	PROGRAMMA	COFOG	TRANSAZIONE_UE_SPESA	SIOPE_SPESA	SPESA_RICORRENTE	PERIMETRO_SANITARIO_SPESA	POLITICHE_REGIONALI_UNITARIE	PDC_ECONOMICO_PATR	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	ENTE_PROPRIETARIO_ID	PARERE_FINANZIARIO
41753290	I	2016	2015	2420	0	0		10012800	0	1	2015-12-31		D	63,03	63,03	ATENA TRADING-PAGAM.CANONE RUOLO 11/15 SUCC.IST.LANINO VIA ANADONE		0	0		2015	3322	D7||K				DEFINITIVO	S	2009					SVI							U.1.03.02.05.000	04	05			1317										31	1
41748840	I	2016	2015	2418	0	0		10012800	0	1	2015-12-29		D	3215,78	3215,78	ATENA TRADING-PAGAM.CANONE RUOLO 11/15 IST.SCOLASTICI		0	0		2015	3321	D7||K				DEFINITIVO	S	2009					SVI							U.1.03.02.05.000	04	05			1317										31	1
41737506	I	2016	2015	2414	0	0		10031600	0	1	2015-12-29		D	796,1	796,1	AEG-PAGAM.MESE DI NOVEMBRE 2015 CENTRI IMP.VC P.ZZA ROMA/BORGOSESIA V.LE VARALLO)		0	0		2015	3317	D7||K				DEFINITIVO	S	14744					SVI							U.1.03.02.05.000	15	01			1316										31	1
41711954	I	2016	2015	2412	0	0		10039600	0	1	2015-12-29		D	40,06	40,06	AEG-CANONE NOVEMBRE 2015 SETT.AGR VIA SAN CRISTOFORO 3		0	0		2015	3316	D7||K				DEFINITIVO	S	14744					SVI							U.1.03.02.05.000	16	01			1316										31	1
41699662	I	2016	2015	2407	0	0		10012800	0	1	2015-12-28		D	18768,13	18768,13	AEG-CANONE IST.SCOLAST.VARI FUORI VC MESE DI NOVEMBRE 2015 		0	0		2015	3294	D7||K				DEFINITIVO	S	14744					SVI							U.1.03.02.05.000	04	05			1316										31	1
41649928	I	2016	2015	2392	0	0		10009700	0	1	2015-12-23		D	219,91	219,91	AEG-CANONE MESE DI NOVEMBRE 2015 SALA CONF.LINGOTTINO BORGOSESIA		0	0		2015	3287	D7||K				DEFINITIVO	S	14744					SVI							U.1.03.02.05.000	01	11			1316										31	1
41649927	I	2016	2015	2391	0	0		10039600	0	1	2015-12-23		D	29,55	29,55	AEG-CANONE NOVEMBRE 2015 LAB.ENOLOGICO ROASIO		0	0		2015	3278	D7||K				DEFINITIVO	S	14744					SVI							U.1.03.02.05.000	16	01			1316										31	1
41514602	I	2016	2015	2343	0	0		10009700	0	1	2015-12-18		D	1460,34	1460,34	ATENA SPA-CANONE MENSILE FIBRA SPENTA E CANONE MENS.COPPIA RAME DAL 01/01 AL 31/12/2015 UFFICI PROV.VC VIA SAN CRISTOFORO  		0	0		2015	3277	D7||K				DEFINITIVO	S	13120					SVI							U.1.03.02.05.000	01	11			1315										31	1
41649926	I	2016	2015	2390	0	0		10012800	0	1	2015-12-23		D	21,11	21,11	SOMET-PAGAM.FORNITURA GAS DAL 18/08/15 AL 30/11/2015 ITC CALAMANDREI CRESCENTINO P.ZZA MARCONI 2 		0	0		2015	3269	D7||K				DEFINITIVO	S	20842					SVI							U.1.03.02.05.000	04	05			1318										31	1
41649925	I	2016	2015	2389	0	0		10012800	0	1	2015-12-23		D	789,36	789,36	ENERCOM-PAGAM.CONSUMO GAS DAL 01/10 AL 30/11/2015 IPSAAR VARALLO		0	0		2015	3263	D7||K				DEFINITIVO	S	17173					SVI							U.1.03.02.05.000	04	05			1318										31	1
