ACCREDITO_ID|CODICE|DESCRI|TIPO_ACCREDITO|PRIORITA|DECODIFICAOIL|ENTE_PROPRIETARIO_ID
1|RPP|REGOLARIZZO PARTITE PENDENTI|GE|0||32
2|CB1|CONTO CORRENTE BANCARIO|CB|0||32
3|TE|TELEMATICO|GE|0||32
4|CB|CONTO CORRENTE BANCARIO CON DELEGATO|CB|0||32
5|CP|CONTO CORRENTE POSTALE|CCP|0||32
6|CT|CONTANTI CON DELEGATO|CO|0||32
7|AC|ASSEGNO CIRCOLARE|GE|0||32
8|VP|VAGLIA POSTALE ORDINARIO|GE|0||32
9|GF|GIROFONDI|CBI|0||32
10|DB|DOMICILIAZIONE BANCARIA|GE|0||32
11|F24EP|GIROFONDI|CBI|0||32
12|CT1|CONTANTI|CO|0||32
13|XX|.|GE|0||32
