ACCREDITO_ID|CODICE|DESCRI|TIPO_ACCREDITO|PRIORITA|DECODIFICAOIL|ENTE_PROPRIETARIO_ID
1|LD|LIBRETTO DEPOSITO|GE|0||31
2|EP|ECONOMO PROVINCIALE|GE|0||31
3|CBC|CONTO CORRENTE BANCARIO - COMMISSIONI CARICO ENTE|CB|0||31
4|CE|CASSIERE ECONOMALE|GE|0||31
5|TE|TESORERIA|GE|0||31
6|GF|GIRO FONDI IN BANCA D'ITALIA|CBI|0||31
7|CP|CONTO CORRENTE POSTALE|CCP|0||31
8|CBE|CONTO CORRENTE BANCARIO - ESENTE COMMISSIONI|CB|0||31
9|CT|CONTANTI|CO|0||31
10|00|CODICE MANCANTE|GE|0||31
11|AC|ASSEGNO CIRCOLARE|GE|0||31
12|CB|CONTO CORRENTE BANCARIO - CONVENZIONE|CB|0||31
13|VP|VAGLIA POSTALE|GE|0||31
14|CB1|CONTO CORRENTE BANCARIO - CONVENZIONE - CON DELEGATO|CB|0||31
15|XX|.|GE|0||31
